%
% Commandline
%
% weka.datagenerators.classifiers.classification.RDG1 -r weka.datagenerators.classifiers.classification.RDG1-S_46_-n_100_-a_200_-c_2_-N_200_-I_0_-M_1_-R_10 -S 46 -n 100 -a 200 -c 2 -N 200 -I 0 -M 1 -R 10
%
@relation weka.datagenerators.classifiers.classification.RDG1-S_46_-n_100_-a_200_-c_2_-N_200_-I_0_-M_1_-R_10

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a65 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a68 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a71 numeric
@attribute a72 numeric
@attribute a73 numeric
@attribute a74 numeric
@attribute a75 numeric
@attribute a76 numeric
@attribute a77 numeric
@attribute a78 numeric
@attribute a79 numeric
@attribute a80 numeric
@attribute a81 numeric
@attribute a82 numeric
@attribute a83 numeric
@attribute a84 numeric
@attribute a85 numeric
@attribute a86 numeric
@attribute a87 numeric
@attribute a88 numeric
@attribute a89 numeric
@attribute a90 numeric
@attribute a91 numeric
@attribute a92 numeric
@attribute a93 numeric
@attribute a94 numeric
@attribute a95 numeric
@attribute a96 numeric
@attribute a97 numeric
@attribute a98 numeric
@attribute a99 numeric
@attribute a100 numeric
@attribute a101 numeric
@attribute a102 numeric
@attribute a103 numeric
@attribute a104 numeric
@attribute a105 numeric
@attribute a106 numeric
@attribute a107 numeric
@attribute a108 numeric
@attribute a109 numeric
@attribute a110 numeric
@attribute a111 numeric
@attribute a112 numeric
@attribute a113 numeric
@attribute a114 numeric
@attribute a115 numeric
@attribute a116 numeric
@attribute a117 numeric
@attribute a118 numeric
@attribute a119 numeric
@attribute a120 numeric
@attribute a121 numeric
@attribute a122 numeric
@attribute a123 numeric
@attribute a124 numeric
@attribute a125 numeric
@attribute a126 numeric
@attribute a127 numeric
@attribute a128 numeric
@attribute a129 numeric
@attribute a130 numeric
@attribute a131 numeric
@attribute a132 numeric
@attribute a133 numeric
@attribute a134 numeric
@attribute a135 numeric
@attribute a136 numeric
@attribute a137 numeric
@attribute a138 numeric
@attribute a139 numeric
@attribute a140 numeric
@attribute a141 numeric
@attribute a142 numeric
@attribute a143 numeric
@attribute a144 {false,true}
@attribute a145 numeric
@attribute a146 numeric
@attribute a147 numeric
@attribute a148 numeric
@attribute a149 numeric
@attribute a150 numeric
@attribute a151 numeric
@attribute a152 numeric
@attribute a153 numeric
@attribute a154 numeric
@attribute a155 numeric
@attribute a156 numeric
@attribute a157 numeric
@attribute a158 numeric
@attribute a159 numeric
@attribute a160 numeric
@attribute a161 numeric
@attribute a162 numeric
@attribute a163 numeric
@attribute a164 {false,true}
@attribute a165 numeric
@attribute a166 numeric
@attribute a167 numeric
@attribute a168 numeric
@attribute a169 numeric
@attribute a170 numeric
@attribute a171 numeric
@attribute a172 numeric
@attribute a173 numeric
@attribute a174 numeric
@attribute a175 numeric
@attribute a176 numeric
@attribute a177 numeric
@attribute a178 numeric
@attribute a179 numeric
@attribute a180 numeric
@attribute a181 numeric
@attribute a182 numeric
@attribute a183 numeric
@attribute a184 numeric
@attribute a185 numeric
@attribute a186 numeric
@attribute a187 numeric
@attribute a188 numeric
@attribute a189 numeric
@attribute a190 numeric
@attribute a191 numeric
@attribute a192 numeric
@attribute a193 numeric
@attribute a194 numeric
@attribute a195 numeric
@attribute a196 numeric
@attribute a197 numeric
@attribute a198 numeric
@attribute a199 numeric
@attribute class {c0,c1}

@data

0.372673,0.141201,0.145194,0.386525,0.766657,0.825535,0.122581,0.00476,0.328004,0.868624,0.155455,0.677275,0.414003,0.871536,0.484687,0.554197,0.994361,0.180209,0.320824,0.462974,0.572757,0.004517,0.824769,0.604314,0.547576,0.970814,0.333691,0.792947,0.547997,0.983242,0.439131,0.802592,0.431012,0.45756,0.814313,0.328551,0.305607,0.960954,0.008943,0.316771,0.162273,0.0423,0.78233,0.924771,0.429158,0.569553,0.929456,0.177699,0.050603,0.204417,0.969644,0.461883,0.489445,0.739186,0.513782,0.35859,0.391415,0.896614,0.603579,0.962325,0.518093,0.850901,0.825151,0.75081,0.954322,0.166356,0.539221,0.27795,0.526628,0.070033,0.141567,0.446374,0.831106,0.975605,0.869846,0.882802,0.262431,0.957966,0.306734,0.987296,0.960004,0.441529,0.394344,0.556582,0.642974,0.709934,0.471201,0.491961,0.892742,0.970811,0.570546,0.993956,0.559744,0.61652,0.977597,0.818657,0.620708,0.01024,0.83335,0.624861,0.993264,0.596497,0.393882,0.17644,0.526671,0.38623,0.406571,0.180963,0.630621,0.898682,0.948514,0.843481,0.778464,0.455917,0.987402,0.793433,0.426894,0.320451,0.871437,0.903052,0.731016,0.542505,0.932405,0.65718,0.801906,0.540571,0.394799,0.157307,0.153168,0.3775,0.823937,0.54672,0.413689,0.414008,0.417307,0.629015,0.345649,0.522508,0.545904,0.718814,0.700084,0.32637,0.086119,0.311399,false,0.99323,0.247774,0.987048,0.629869,0.955631,0.800191,0.076244,0.631323,0.558335,0.825726,0.003502,0.354831,0.038801,0.388969,0.90042,0.601826,0.435845,0.799871,0.032671,true,0.991202,0.470348,0.820985,0.133961,0.359705,0.716423,0.752788,0.712712,0.475994,0.241798,0.279018,0.297173,0.239184,0.453748,0.869709,0.624156,0.27161,0.208553,0.762345,0.334101,0.883767,0.061185,0.578514,0.061045,0.034774,0.602795,0.90731,0.87615,0.516195,0.009553,0.157986,0.302586,0.806729,0.497707,0.469741,c0
0.914735,0.40961,0.157738,0.919027,0.680861,0.498321,0.797266,0.037289,0.306245,0.251898,0.662364,0.077211,0.991578,0.125428,0.25098,0.246175,0.969962,0.384559,0.120027,0.671023,0.840863,0.262322,0.494608,0.167175,0.962427,0.681192,0.261926,0.187032,0.615587,0.776519,0.595018,0.266272,0.099643,0.817786,0.788384,0.162691,0.396571,0.765758,0.755735,0.539376,0.550072,0.626449,0.039497,0.482576,0.445426,0.966927,0.11238,0.364262,0.247529,0.443324,0.213219,0.560435,0.356968,0.958027,0.95249,0.318391,0.377859,0.110878,0.447269,0.629691,0.256136,0.93831,0.801122,0.310262,0.443318,0.544693,0.331278,0.615063,0.668309,0.121773,0.063642,0.621966,0.658551,0.024937,0.665582,0.307963,0.941929,0.029138,0.16712,0.710584,0.682083,0.622655,0.533056,0.818313,0.352337,0.213495,0.391712,0.866096,0.937235,0.421047,0.000414,0.525451,0.265732,0.204755,0.833472,0.073446,0.026347,0.441881,0.015364,0.00078,0.992152,0.708063,0.189956,0.676433,0.992244,0.437205,0.316031,0.624811,0.206389,0.341346,0.310064,0.691074,0.430827,0.95651,0.41906,0.871259,0.06574,0.44713,0.699503,0.866097,0.708713,0.349501,0.002791,0.480847,0.40351,0.763805,0.423283,0.838225,0.789822,0.614629,0.251929,0.997483,0.627153,0.991465,0.096657,0.9799,0.424809,0.253551,0.980101,0.389449,0.199986,0.537518,0.905898,0.787109,true,0.541653,0.596717,0.728277,0.835349,0.97718,0.850343,0.904967,0.2506,0.874826,0.234536,0.147951,0.782154,0.014045,0.647082,0.138714,0.489444,0.102608,0.604334,0.55711,true,0.975868,0.98972,0.047774,0.8596,0.007893,0.393111,0.826887,0.917623,0.130714,0.102606,0.970548,0.860329,0.343325,0.272197,0.42706,0.459085,0.358651,0.781944,0.577583,0.252949,0.084561,0.831712,0.733158,0.79075,0.964114,0.36518,0.300777,0.899627,0.810541,0.007742,0.477182,0.343813,0.664125,0.320089,0.236286,c1
0.767421,0.694054,0.965676,0.264778,0.796373,0.863071,0.911725,0.367404,0.213917,0.041145,0.057517,0.342575,0.574583,0.575083,0.669866,0.697903,0.941561,0.550052,0.404718,0.510431,0.657285,0.616838,0.650943,0.803263,0.769214,0.86105,0.623181,0.173873,0.14059,0.173007,0.827806,0.777853,0.847296,0.062471,0.987979,0.772895,0.064457,0.628913,0.506909,0.109983,0.280207,0.445912,0.072885,0.122265,0.339104,0.447356,0.065277,0.706818,0.513949,0.513464,0.007633,0.020454,0.532311,0.346282,0.432167,0.517986,0.242848,0.397106,0.169328,0.849828,0.396543,0.062443,0.256826,0.605524,0.83929,0.100426,0.374399,0.140783,0.264771,0.236224,0.953747,0.757848,0.560372,0.222835,0.887515,0.322448,0.693929,0.202765,0.066835,0.995374,0.035372,0.076404,0.813857,0.132639,0.984881,0.72457,0.643893,0.565457,0.787956,0.355506,0.69116,0.409706,0.457836,0.950719,0.562825,0.274314,0.797012,0.769414,0.347929,0.238938,0.612085,0.137876,0.000961,0.253572,0.350034,0.297993,0.344237,0.676169,0.548996,0.918223,0.488931,0.509101,0.692941,0.980669,0.561507,0.521256,0.287155,0.149494,0.240459,0.849798,0.230268,0.398813,0.75769,0.864082,0.84856,0.632248,0.699522,0.043968,0.279599,0.261704,0.154241,0.375725,0.244786,0.229556,0.496249,0.300959,0.634179,0.756219,0.371301,0.567477,0.742013,0.174247,0.252984,0.425713,false,0.570418,0.277489,0.49034,0.033835,0.598864,0.931912,0.243884,0.124429,0.751176,0.570714,0.597678,0.200749,0.573503,0.665656,0.145179,0.430815,0.80601,0.156412,0.743669,true,0.186679,0.262255,0.842589,0.728763,0.709269,0.63961,0.540217,0.961304,0.454372,0.825921,0.695146,0.188199,0.722834,0.497232,0.544977,0.627521,0.092426,0.184988,0.191881,0.520604,0.191496,0.747043,0.003157,0.302235,0.437436,0.068459,0.444631,0.308157,0.72315,0.179648,0.115743,0.950097,0.051299,0.222549,0.787352,c1
0.172308,0.413982,0.469937,0.056816,0.918668,0.794567,0.908649,0.829593,0.285656,0.028787,0.734405,0.212598,0.014058,0.403775,0.474088,0.56179,0.981073,0.296591,0.350727,0.364907,0.394495,0.857888,0.937133,0.360039,0.461954,0.731712,0.106017,0.791658,0.410738,0.06903,0.777605,0.987991,0.867506,0.640446,0.990164,0.507073,0.772227,0.682649,0.374533,0.943546,0.196996,0.223501,0.200652,0.114266,0.667891,0.02227,0.782249,0.747981,0.846842,0.93436,0.175278,0.992836,0.720508,0.464003,0.786327,0.025183,0.764466,0.50372,0.719168,0.794149,0.903529,0.775955,0.430772,0.46864,0.472823,0.290162,0.542495,0.466949,0.799278,0.207694,0.457875,0.043837,0.469488,0.867213,0.775312,0.285964,0.827416,0.364945,0.35213,0.023734,0.754235,0.006946,0.275905,0.606154,0.322601,0.154644,0.929613,0.704953,0.488992,0.470293,0.799065,0.315268,0.590223,0.335538,0.664257,0.90236,0.044095,0.264207,0.340695,0.207352,0.319143,0.459455,0.192389,0.569673,0.934733,0.275841,0.225152,0.749883,0.98033,0.238427,0.686979,0.14378,0.401502,0.4439,0.751732,0.967168,0.090306,0.622807,0.042966,0.460385,0.638965,0.877314,0.466705,0.412672,0.468298,0.125547,0.065097,0.338683,0.926136,0.581397,0.377307,0.452933,0.866023,0.177773,0.099676,0.182678,0.162773,0.70165,0.674086,0.335717,0.598983,0.550847,0.801617,0.196835,true,0.445348,0.778029,0.765067,0.058206,0.130033,0.978233,0.0637,0.527059,0.091092,0.778854,0.95591,0.231316,0.574956,0.70114,0.181148,0.894333,0.746456,0.580884,0.390869,true,0.651994,0.127701,0.806928,0.166188,0.763909,0.322908,0.751944,0.125732,0.273758,0.72341,0.708145,0.367889,0.97515,0.888439,0.749714,0.953793,0.530824,0.826618,0.163342,0.604286,0.154026,0.572766,0.822714,0.379264,0.250871,0.747016,0.414841,0.546254,0.368174,0.223214,0.929655,0.039135,0.87038,0.839274,0.918998,c1
0.354198,0.129562,0.419016,0.907122,0.208287,0.654042,0.243248,0.992022,0.792541,0.504069,0.507202,0.115433,0.995312,0.547055,0.232152,0.699022,0.5391,0.59027,0.560913,0.345289,0.578917,0.195435,0.360116,0.083935,0.943245,0.027575,0.576547,0.207892,0.863823,0.919524,0.850519,0.087993,0.736767,0.443888,0.476139,0.481174,0.18507,0.675833,0.916519,0.754382,0.451339,0.00293,0.731383,0.1348,0.93962,0.292393,0.955175,0.56675,0.546498,0.461394,0.675712,0.006598,0.274179,0.512746,0.806572,0.019224,0.502032,0.39608,0.820821,0.353077,0.208144,0.633765,0.519358,0.76559,0.3787,0.511167,0.744061,0.746677,0.820561,0.772424,0.31409,0.945286,0.601175,0.18579,0.363099,0.042429,0.380031,0.046703,0.685807,0.53388,0.967123,0.672054,0.664249,0.386656,0.546444,0.205772,0.837228,0.815671,0.136326,0.60367,0.200887,0.490391,0.023462,0.494603,0.883981,0.326078,0.103752,0.725345,0.928353,0.640155,0.290651,0.788183,0.523278,0.861479,0.410475,0.003098,0.191744,0.168766,0.294174,0.280471,0.10743,0.404147,0.096362,0.525651,0.933007,0.358816,0.224939,0.263262,0.313619,0.059938,0.64842,0.857053,0.433739,0.001488,0.763129,0.78011,0.851328,0.356396,0.448721,0.750693,0.160094,0.083362,0.417995,0.19047,0.89883,0.498929,0.475801,0.384858,0.526218,0.323872,0.841838,0.929211,0.21016,0.432705,false,0.529994,0.642596,0.536058,0.247083,0.996663,0.08395,0.807931,0.370794,0.307823,0.365739,0.033286,0.305338,0.964347,0.635563,0.196173,0.867555,0.452477,0.215602,0.554577,false,0.531547,0.063902,0.155364,0.588451,0.233798,0.977151,0.431217,0.41283,0.917881,0.854327,0.991166,0.160578,0.45297,0.052472,0.96728,0.268833,0.627031,0.109068,0.312338,0.057714,0.17063,0.879842,0.256753,0.12597,0.366774,0.446549,0.727767,0.185452,0.077619,0.986156,0.90989,0.330983,0.160493,0.161027,0.282814,c1
0.751061,0.66853,0.489131,0.411466,0.92482,0.935301,0.583949,0.482641,0.421977,0.628204,0.115671,0.083585,0.525039,0.121948,0.838441,0.000165,0.026836,0.09134,0.052825,0.8757,0.72145,0.051671,0.42833,0.4163,0.302963,0.685363,0.197728,0.45449,0.613915,0.185122,0.353102,0.590148,0.444207,0.516714,0.62293,0.31627,0.371199,0.45856,0.69021,0.506778,0.453036,0.510722,0.323529,0.894573,0.939793,0.282436,0.836135,0.700278,0.550805,0.7652,0.562513,0.885565,0.281595,0.977544,0.8476,0.599706,0.15009,0.827935,0.380704,0.263957,0.769376,0.683891,0.574356,0.395614,0.143004,0.058226,0.08773,0.712055,0.618926,0.027438,0.524938,0.274802,0.5094,0.48262,0.800416,0.434626,0.486783,0.079867,0.656789,0.120943,0.498861,0.805002,0.345003,0.582208,0.612469,0.396545,0.532186,0.02876,0.890392,0.481212,0.089615,0.755549,0.13411,0.167819,0.531334,0.229379,0.083714,0.018317,0.523354,0.313809,0.45638,0.768812,0.064076,0.27455,0.026067,0.908721,0.648455,0.459199,0.799643,0.242883,0.971595,0.577362,0.228434,0.85925,0.501896,0.320693,0.309231,0.503885,0.55952,0.657123,0.375083,0.225385,0.372861,0.509491,0.35373,0.292396,0.953865,0.686065,0.280338,0.810781,0.532484,0.868874,0.891214,0.171077,0.721167,0.185518,0.196492,0.442245,0.542255,0.391112,0.032306,0.094306,0.944267,0.969212,true,0.980317,0.457516,0.524085,0.178991,0.337244,0.195122,0.681381,0.847135,0.675618,0.492438,0.340267,0.368075,0.819503,0.096047,0.527292,0.791228,0.031116,0.962895,0.290731,true,0.108556,0.410822,0.04389,0.80169,0.580472,0.573632,0.516832,0.969352,0.638051,0.857028,0.008189,0.002435,0.242618,0.366144,0.942233,0.913655,0.92619,0.081066,0.831082,0.895381,0.162719,0.893667,0.617905,0.646557,0.829323,0.487219,0.034213,0.23568,0.199689,0.43968,0.042794,0.217108,0.115915,0.862202,0.657587,c0
0.05537,0.059378,0.01435,0.380595,0.593632,0.253814,0.143968,0.506807,0.256054,0.365747,0.89706,0.41353,0.814458,0.976413,0.205738,0.708587,0.275668,0.574458,0.487389,0.481056,0.779563,0.559658,0.754434,0.498104,0.341874,0.48614,0.979003,0.748384,0.195909,0.437219,0.213283,0.865231,0.800849,0.838999,0.045416,0.768557,0.679023,0.466213,0.331143,0.201257,0.120496,0.871265,0.783037,0.704096,0.45058,0.976261,0.921968,0.972474,0.99431,0.107841,0.099592,0.469121,0.091704,0.325929,0.785974,0.628686,0.518537,0.500019,0.083073,0.983355,0.449657,0.220464,0.472664,0.063049,0.665293,0.297206,0.136377,0.979401,0.045558,0.29473,0.795869,0.189646,0.524312,0.27954,0.912783,0.054714,0.580805,0.715236,0.26095,0.45521,0.035948,0.230326,0.337433,0.909676,0.389839,0.805192,0.814342,0.35139,0.188114,0.777169,0.24996,0.963161,0.936921,0.946467,0.575565,0.243975,0.899812,0.980743,0.453435,0.787015,0.704562,0.262376,0.461886,0.085485,0.063888,0.300073,0.204776,0.050854,0.071288,0.835195,0.865773,0.82752,0.471697,0.813256,0.431785,0.918578,0.02636,0.462312,0.795295,0.599292,0.592319,0.82252,0.211956,0.088014,0.819143,0.204917,0.137638,0.968734,0.428978,0.222522,0.298234,0.915092,0.890752,0.233143,0.955882,0.852596,0.925332,0.26081,0.72685,0.313967,0.685646,0.721561,0.979197,0.891934,true,0.569322,0.792415,0.374474,0.190818,0.798929,0.696616,0.359396,0.691983,0.595869,0.925416,0.88835,0.300252,0.806117,0.714544,0.914723,0.10962,0.814473,0.257273,0.225606,false,0.366098,0.288153,0.774848,0.205771,0.34349,0.908109,0.252466,0.4375,0.01992,0.186821,0.115021,0.551843,0.850407,0.282406,0.232278,0.324969,0.432563,0.303781,0.767363,0.613346,0.872235,0.907674,0.900803,0.104198,0.42259,0.670113,0.533238,0.239611,0.930395,0.601318,0.157281,0.890754,0.319489,0.783268,0.675873,c1
0.484632,0.068997,0.000844,0.062701,0.193017,0.402629,0.410249,0.409613,0.481682,0.695439,0.742564,0.086651,0.787804,0.425717,0.27562,0.452233,0.344347,0.852209,0.823953,0.794183,0.202494,0.480676,0.29451,0.956701,0.316655,0.29881,0.93482,0.414078,0.151312,0.704846,0.260737,0.388801,0.644938,0.032715,0.792443,0.979935,0.523441,0.585413,0.150247,0.167028,0.894096,0.128247,0.765837,0.98547,0.770599,0.864972,0.449986,0.131156,0.680913,0.022302,0.324287,0.745451,0.791755,0.302134,0.172397,0.155886,0.047081,0.625814,0.095326,0.903665,0.66263,0.79108,0.46567,0.475983,0.94459,0.889875,0.567309,0.779323,0.807641,0.593967,0.979915,0.539301,0.556143,0.705407,0.721726,0.493311,0.461943,0.690096,0.399413,0.454114,0.423245,0.265302,0.130425,0.065698,0.521236,0.495748,0.801101,0.347145,0.604626,0.267926,0.302896,0.925894,0.126972,0.458589,0.749442,0.198717,0.337664,0.590907,0.318771,0.526885,0.584644,0.28056,0.287846,0.97141,0.92544,0.314095,0.0307,0.004925,0.462786,0.773141,0.236784,0.098653,0.82211,0.220622,0.372754,0.076119,0.970372,0.598921,0.458773,0.649637,0.139229,0.154944,0.559512,0.611281,0.960231,0.403356,0.000361,0.736976,0.045692,0.866795,0.210998,0.580485,0.156176,0.090633,0.271292,0.983501,0.783945,0.219941,0.688611,0.30871,0.451474,0.247545,0.670995,0.114605,false,0.894653,0.177207,0.233992,0.376315,0.969284,0.322556,0.992551,0.535819,0.962791,0.298498,0.609479,0.081963,0.591051,0.824325,0.659134,0.378957,0.964425,0.290918,0.840808,false,0.079405,0.179328,0.203113,0.121751,0.364878,0.041107,0.400192,0.098785,0.087238,0.312618,0.518817,0.273075,0.521116,0.50218,0.508651,0.611478,0.926292,0.836748,0.272336,0.423099,0.536373,0.28393,0.027756,0.955432,0.961134,0.975495,0.641693,0.807779,0.63194,0.450124,0.252333,0.068468,0.178471,0.806014,0.64741,c1
0.270875,0.914995,0.808046,0.545502,0.232976,0.935735,0.229564,0.139878,0.596138,0.671411,0.225446,0.007466,0.411069,0.14283,0.330964,0.759926,0.432345,0.562426,0.760052,0.619471,0.877646,0.380956,0.036951,0.439008,0.283807,0.354088,0.636795,0.554316,0.749028,0.712404,0.233564,0.255403,0.289043,0.058387,0.35791,0.594847,0.254815,0.185246,0.752748,0.712841,0.76024,0.614973,0.481068,0.85182,0.85063,0.286812,0.888305,0.757964,0.706184,0.492367,0.85069,0.222552,0.519393,0.849859,0.35136,0.103015,0.811305,0.837575,0.317608,0.281759,0.858796,0.165357,0.825504,0.670176,0.593485,0.053008,0.232222,0.545993,0.802624,0.305774,0.531757,0.223957,0.713311,0.929618,0.246313,0.303081,0.073581,0.91278,0.463515,0.508035,0.657393,0.715149,0.208663,0.447971,0.715287,0.953281,0.201639,0.452959,0.26844,0.746417,0.189649,0.016391,0.301083,0.197667,0.469839,0.271118,0.84472,0.524523,0.919955,0.357739,0.667315,0.424215,0.840505,0.505396,0.781581,0.3619,0.178567,0.138585,0.268755,0.603514,0.251151,0.347887,0.977681,0.980112,0.915202,0.618222,0.503801,0.566853,0.241622,0.795116,0.478577,0.687293,0.142331,0.887647,0.607128,0.912452,0.07222,0.456144,0.080344,0.014157,0.881949,0.013391,0.957432,0.153462,0.132908,0.079973,0.86587,0.937459,0.702249,0.277605,0.897936,0.361623,0.303746,0.118657,true,0.06983,0.629362,0.955795,0.417309,0.810505,0.176718,0.892525,0.531561,0.444893,0.469308,0.323636,0.288647,0.372216,0.299101,0.173923,0.098824,0.776551,0.825325,0.834244,true,0.671506,0.848538,0.255881,0.887872,0.321373,0.345723,0.657334,0.173404,0.251156,0.39997,0.822104,0.689737,0.72297,0.987433,0.021656,0.022124,0.252566,0.694581,0.18471,0.355012,0.46727,0.330385,0.052127,0.440366,0.36545,0.570909,0.706106,0.093281,0.827606,0.227899,0.043054,0.576508,0.050538,0.468294,0.471408,c1
