%
% Commandline
%
% weka.datagenerators.classifiers.classification.RDG1 -r weka.datagenerators.classifiers.classification.RDG1-S_25_-n_1600_-a_100_-c_2_-N_100_-I_0_-M_1_-R_10 -S 25 -n 1600 -a 100 -c 2 -N 100 -I 0 -M 1 -R 10
%
@relation weka.datagenerators.classifiers.classification.RDG1-S_25_-n_1600_-a_100_-c_2_-N_100_-I_0_-M_1_-R_10

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 {false,true}
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a65 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a68 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a71 numeric
@attribute a72 numeric
@attribute a73 numeric
@attribute a74 numeric
@attribute a75 numeric
@attribute a76 numeric
@attribute a77 numeric
@attribute a78 numeric
@attribute a79 numeric
@attribute a80 numeric
@attribute a81 numeric
@attribute a82 numeric
@attribute a83 numeric
@attribute a84 numeric
@attribute a85 numeric
@attribute a86 numeric
@attribute a87 numeric
@attribute a88 numeric
@attribute a89 numeric
@attribute a90 numeric
@attribute a91 numeric
@attribute a92 numeric
@attribute a93 numeric
@attribute a94 numeric
@attribute a95 numeric
@attribute a96 numeric
@attribute a97 numeric
@attribute a98 numeric
@attribute a99 numeric
@attribute class {c0,c1}

@data

0.723297,0.144577,0.502714,0.107536,0.027491,0.739496,0.755217,0.449098,0.713101,0.307955,0.245461,0.836185,0.356916,0.558577,0.769044,0.679433,0.714222,0.536578,0.190996,0.786324,0.663482,0.12426,0.718623,0.422827,0.918707,0.454914,0.374373,0.440611,0.490636,0.897244,0.933528,false,0.359282,0.319222,0.526093,0.365234,0.458085,0.798259,0.693076,0.176924,0.863874,0.80887,0.934413,0.26461,0.037029,0.189476,0.689133,0.891402,0.062676,0.86679,0.247902,0.793226,0.106451,0.399197,0.313929,0.928491,0.717303,0.889839,0.800274,0.237907,0.185014,0.715589,0.979918,0.523254,0.891555,0.819866,0.289534,0.433775,0.48308,0.02527,0.928711,0.335,0.73333,0.936244,0.893456,0.527208,0.169391,0.522498,0.236117,0.879335,0.887209,0.400674,0.153444,0.449054,0.496949,0.164765,0.970321,0.070864,0.807253,0.855015,0.208784,0.211399,0.682609,0.800577,0.710229,0.614841,0.489536,0.622946,0.213339,0.391156,c0
0.128506,0.016746,0.379314,0.634147,0.160617,0.842905,0.504453,0.741481,0.647624,0.547267,0.949271,0.411383,0.961434,0.164361,0.319228,0.049064,0.047109,0.571805,0.860143,0.726464,0.961811,0.727321,0.543635,0.810547,0.720638,0.746028,0.487467,0.132878,0.6531,0.854049,0.76077,true,0.080457,0.431237,0.683659,0.79195,0.886823,0.938822,0.446591,0.132129,0.475888,0.517052,0.246896,0.029621,0.680298,0.433378,0.168195,0.305583,0.422203,0.363553,0.713048,0.845675,0.311136,0.695935,0.239919,0.081425,0.909386,0.663639,0.552705,0.988701,0.095157,0.129592,0.5443,0.153489,0.810329,0.2764,0.105327,0.460075,0.492246,0.285865,0.474918,0.867835,0.657983,0.332281,0.832541,0.560237,0.434678,0.859168,0.208163,0.473288,0.310993,0.160806,0.72263,0.840545,0.022454,0.747993,0.760946,0.927931,0.27736,0.84167,0.928228,0.573992,0.980165,0.608591,0.541395,0.49986,0.71565,0.429951,0.969271,0.608062,c1
0.684644,0.798897,0.507542,0.284649,0.121094,0.892703,0.638789,0.727063,0.619236,0.029078,0.844445,0.249296,0.075945,0.494896,0.881802,0.900169,0.162417,0.733882,0.652377,0.633956,0.444422,0.259616,0.302877,0.839767,0.118757,0.742736,0.546452,0.918855,0.469816,0.198744,0.119182,false,0.123812,0.934306,0.588488,0.027352,0.058088,0.797583,0.438191,0.43718,0.109074,0.322124,0.469198,0.854506,0.414836,0.554004,0.07527,0.247127,0.826791,0.70838,0.880136,0.501517,0.830044,0.314279,0.555173,0.992224,0.92295,0.175434,0.376178,0.798068,0.723865,0.300139,0.223215,0.751822,0.296695,0.934554,0.279333,0.944606,0.316743,0.971589,0.641905,0.397085,0.734462,0.301436,0.424645,0.356583,0.537136,0.120008,0.698822,0.082594,0.057116,0.818016,0.79899,0.042695,0.030137,0.836061,0.10152,0.156728,0.268373,0.790121,0.373526,0.099152,0.380264,0.246963,0.185228,0.697826,0.442784,0.760477,0.6806,0.152002,c0
0.462149,0.533687,0.890033,0.272291,0.375445,0.575954,0.488536,0.220174,0.841392,0.555917,0.688623,0.768817,0.663817,0.683021,0.237883,0.370131,0.462017,0.738879,0.59459,0.764574,0.437623,0.206617,0.582574,0.648318,0.323217,0.769855,0.099501,0.67949,0.933019,0.330383,0.172423,true,0.834595,0.550074,0.081192,0.30894,0.665423,0.935235,0.103383,0.064843,0.529282,0.650575,0.673577,0.865129,0.724814,0.575146,0.395412,0.268203,0.782243,0.594052,0.396528,0.107166,0.414111,0.757443,0.974561,0.510485,0.522045,0.732226,0.346606,0.641845,0.84391,0.922137,0.585045,0.131022,0.174389,0.738268,0.49943,0.727185,0.346867,0.764818,0.307097,0.921842,0.325661,0.983802,0.424452,0.160732,0.825,0.797646,0.606371,0.79226,0.844804,0.320019,0.962934,0.084685,0.393192,0.292981,0.090684,0.485035,0.451778,0.032444,0.669905,0.789853,0.932188,0.00416,0.399877,0.05114,0.970902,0.988872,0.070865,0.850487,c1
0.416212,0.769687,0.662352,0.602996,0.392023,0.989043,0.626334,0.71571,0.129172,0.148099,0.201773,0.600217,0.263186,0.370079,0.380859,0.528845,0.802658,0.768228,0.73525,0.533263,0.064031,0.570181,0.319973,0.250255,0.075425,0.266765,0.653517,0.798566,0.827119,0.073209,0.279143,true,0.415211,0.730013,0.534516,0.424788,0.950202,0.816258,0.935095,0.991672,0.083684,0.299841,0.011263,0.929465,0.143996,0.007193,0.53003,0.509947,0.165678,0.059242,0.779176,0.850754,0.547743,0.090921,0.995069,0.962357,0.682211,0.248271,0.0749,0.817578,0.657085,0.540192,0.42997,0.277054,0.056847,0.111153,0.208663,0.271438,0.95879,0.396701,0.146125,0.114748,0.454919,0.925325,0.982184,0.203181,0.416857,0.738283,0.729896,0.63981,0.765148,0.013223,0.07418,0.518004,0.204528,0.497967,0.833292,0.694998,0.243186,0.787556,0.72549,0.891972,0.326746,0.310685,0.649048,0.868087,0.086617,0.130893,0.30585,0.233334,c0
0.374911,0.525097,0.786945,0.71872,0.972669,0.117197,0.003878,0.264499,0.560684,0.788918,0.506468,0.430503,0.83814,0.234004,0.41805,0.310726,0.088436,0.0168,0.243414,0.978909,0.082805,0.149834,0.07004,0.226764,0.364916,0.999664,0.580825,0.90286,0.333367,0.561174,0.98903,true,0.403214,0.387578,0.448593,0.560177,0.798229,0.366731,0.841574,0.673824,0.202271,0.093875,0.099361,0.910434,0.581244,0.806814,0.375434,0.189477,0.976305,0.721552,0.454847,0.473418,0.964519,0.134752,0.759213,0.497247,0.78494,0.843971,0.18588,0.607708,0.836052,0.277393,0.806101,0.833007,0.364807,0.221912,0.139406,0.503924,0.687993,0.191703,0.31998,0.103755,0.213399,0.288983,0.975776,0.537161,0.861298,0.874513,0.052198,0.676967,0.225973,0.487443,0.12957,0.873151,0.962568,0.23242,0.007273,0.089696,0.43627,0.286459,0.457254,0.47268,0.628847,0.268898,0.08582,0.446936,0.661835,0.964819,0.184944,0.888782,c1
0.547959,0.201078,0.876988,0.546716,0.167412,0.498047,0.964465,0.344466,0.774344,0.925692,0.726164,0.282025,0.097735,0.354698,0.040498,0.886339,0.826916,0.678643,0.781586,0.393701,0.265616,0.290361,0.261219,0.024014,0.176693,0.716763,0.965822,0.437881,0.863345,0.487468,0.390589,false,0.521871,0.684657,0.340295,0.494528,0.296558,0.649891,0.539986,0.855062,0.269017,0.008205,0.778578,0.488495,0.822316,0.510601,0.094569,0.029815,0.434494,0.193146,0.705416,0.694003,0.97657,0.004191,0.480787,0.933213,0.0169,0.360796,0.764774,0.067053,0.466762,0.061287,0.263278,0.604395,0.141284,0.602904,0.530172,0.300322,0.455362,0.231866,0.309467,0.473259,0.525946,0.9877,0.620605,0.745055,0.410117,0.594542,0.010124,0.160686,0.072581,0.299164,0.83532,0.594499,0.946788,0.658815,0.794183,0.456309,0.630557,0.841525,0.170737,0.973396,0.340169,0.217344,0.426084,0.74337,0.236109,0.891059,0.832789,0.828081,c1
0.629149,0.35526,0.82393,0.39019,0.377232,0.627177,0.607965,0.761709,0.491624,0.073551,0.386743,0.877781,0.085045,0.624862,0.206345,0.209137,0.315018,0.233556,0.069089,0.68314,0.902415,0.240484,0.439893,0.596005,0.138203,0.779598,0.691363,0.18774,0.030626,0.473001,0.349301,false,0.390605,0.446779,0.224015,0.130774,0.204858,0.132612,0.64266,0.094581,0.604266,0.410982,0.033985,0.376657,0.099281,0.398862,0.059243,0.862486,0.524651,0.588098,0.331652,0.016336,0.312522,0.100253,0.521678,0.902221,0.295976,0.539521,0.306553,0.071928,0.234301,0.297374,0.189796,0.043402,0.646847,0.19093,0.690177,0.324229,0.344013,0.001599,0.779422,0.32267,0.251981,0.821399,0.734086,0.032606,0.742033,0.111369,0.759419,0.078992,0.695795,0.029868,0.841681,0.566829,0.964539,0.898096,0.290231,0.189392,0.713645,0.635989,0.341862,0.220351,0.382611,0.623727,0.017233,0.339671,0.636492,0.722403,0.142878,0.724579,c0
0.329483,0.164805,0.45972,0.918652,0.262173,0.94175,0.099422,0.477413,0.252736,0.040377,0.543217,0.598983,0.597268,0.596443,0.742812,0.127899,0.044878,0.267225,0.900864,0.139932,0.945225,0.339617,0.992033,0.487057,0.056336,0.512992,0.529239,0.81611,0.677913,0.092579,0.344328,true,0.022379,0.771477,0.102519,0.928958,0.639258,0.528084,0.376492,0.202862,0.268021,0.420572,0.368623,0.515028,0.710403,0.221198,0.788867,0.299199,0.185196,0.900616,0.970943,0.273315,0.156913,0.945969,0.04095,0.732202,0.814243,0.37646,0.840217,0.887432,0.21505,0.106196,0.348152,0.699548,0.61174,0.996509,0.551048,0.168396,0.624157,0.538574,0.059224,0.974049,0.736695,0.612037,0.287625,0.693817,0.062183,0.176493,0.683895,0.560085,0.43715,0.070042,0.313168,0.869266,0.691369,0.312774,0.090257,0.703849,0.369219,0.442936,0.087618,0.587604,0.271137,0.449633,0.641403,0.058202,0.930586,0.808344,0.428122,0.912054,c0
