%
% Commandline
%
% weka.datagenerators.classifiers.classification.RDG1 -r weka.datagenerators.classifiers.classification.RDG1-S_0_-n_1600_-a_200_-c_2_-N_200_-I_0_-M_1_-R_10 -S 0 -n 1600 -a 200 -c 2 -N 200 -I 0 -M 1 -R 10
%
@relation weka.datagenerators.classifiers.classification.RDG1-S_0_-n_1600_-a_200_-c_2_-N_200_-I_0_-M_1_-R_10

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a65 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a68 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a71 numeric
@attribute a72 numeric
@attribute a73 numeric
@attribute a74 numeric
@attribute a75 numeric
@attribute a76 numeric
@attribute a77 numeric
@attribute a78 numeric
@attribute a79 numeric
@attribute a80 numeric
@attribute a81 numeric
@attribute a82 numeric
@attribute a83 numeric
@attribute a84 numeric
@attribute a85 numeric
@attribute a86 numeric
@attribute a87 numeric
@attribute a88 numeric
@attribute a89 numeric
@attribute a90 numeric
@attribute a91 numeric
@attribute a92 numeric
@attribute a93 numeric
@attribute a94 numeric
@attribute a95 numeric
@attribute a96 numeric
@attribute a97 numeric
@attribute a98 numeric
@attribute a99 numeric
@attribute a100 numeric
@attribute a101 numeric
@attribute a102 numeric
@attribute a103 numeric
@attribute a104 numeric
@attribute a105 numeric
@attribute a106 numeric
@attribute a107 numeric
@attribute a108 numeric
@attribute a109 numeric
@attribute a110 numeric
@attribute a111 numeric
@attribute a112 numeric
@attribute a113 numeric
@attribute a114 numeric
@attribute a115 numeric
@attribute a116 numeric
@attribute a117 numeric
@attribute a118 numeric
@attribute a119 numeric
@attribute a120 numeric
@attribute a121 numeric
@attribute a122 numeric
@attribute a123 numeric
@attribute a124 numeric
@attribute a125 numeric
@attribute a126 numeric
@attribute a127 numeric
@attribute a128 numeric
@attribute a129 numeric
@attribute a130 numeric
@attribute a131 numeric
@attribute a132 numeric
@attribute a133 numeric
@attribute a134 numeric
@attribute a135 numeric
@attribute a136 numeric
@attribute a137 numeric
@attribute a138 numeric
@attribute a139 numeric
@attribute a140 numeric
@attribute a141 numeric
@attribute a142 numeric
@attribute a143 numeric
@attribute a144 numeric
@attribute a145 numeric
@attribute a146 numeric
@attribute a147 numeric
@attribute a148 numeric
@attribute a149 numeric
@attribute a150 numeric
@attribute a151 numeric
@attribute a152 numeric
@attribute a153 numeric
@attribute a154 numeric
@attribute a155 numeric
@attribute a156 numeric
@attribute a157 numeric
@attribute a158 numeric
@attribute a159 numeric
@attribute a160 numeric
@attribute a161 numeric
@attribute a162 numeric
@attribute a163 numeric
@attribute a164 numeric
@attribute a165 numeric
@attribute a166 numeric
@attribute a167 numeric
@attribute a168 numeric
@attribute a169 numeric
@attribute a170 numeric
@attribute a171 numeric
@attribute a172 numeric
@attribute a173 numeric
@attribute a174 numeric
@attribute a175 numeric
@attribute a176 numeric
@attribute a177 {false,true}
@attribute a178 numeric
@attribute a179 numeric
@attribute a180 numeric
@attribute a181 numeric
@attribute a182 numeric
@attribute a183 numeric
@attribute a184 numeric
@attribute a185 numeric
@attribute a186 numeric
@attribute a187 numeric
@attribute a188 numeric
@attribute a189 numeric
@attribute a190 numeric
@attribute a191 numeric
@attribute a192 numeric
@attribute a193 numeric
@attribute a194 numeric
@attribute a195 numeric
@attribute a196 numeric
@attribute a197 numeric
@attribute a198 numeric
@attribute a199 numeric
@attribute class {c0,c1}

@data

0.484148,0.250046,0.440794,0.285252,0.786769,0.152385,0.245356,0.755192,0.25854,0.425713,0.477487,0.476282,0.139553,0.422162,0.485243,0.289204,0.142873,0.919297,0.445706,0.930328,0.384641,0.517106,0.543151,0.525728,0.129829,0.767632,0.603021,0.822852,0.372484,0.217422,0.431496,0.84053,0.30152,0.426823,0.408306,0.392438,0.516588,0.945133,0.459516,0.244786,0.453273,0.166946,0.397371,0.505917,0.852881,0.97254,0.755914,0.213668,0.269237,0.063978,0.67389,0.98576,0.543478,0.948595,0.080617,0.029145,0.897466,0.592859,0.425786,0.766149,0.797494,0.872129,0.460818,0.828421,0.022131,0.075602,0.127215,0.194119,0.431568,0.890818,0.436451,0.799395,0.780521,0.488341,0.336325,0.042202,0.542756,0.554798,0.950262,0.214571,0.12249,0.381243,0.248928,0.048945,0.016444,0.403841,0.167623,0.244807,0.459998,0.915173,0.418246,0.053749,0.841934,0.016991,0.761258,0.744324,0.704414,0.269033,0.3009,0.042391,0.458377,0.903576,0.446027,0.448365,0.039229,0.921662,0.539281,0.669677,0.603682,0.864485,0.798921,0.274926,0.02584,0.562227,0.140466,0.075603,0.389083,0.702638,0.649442,0.671954,0.890055,0.632993,0.961839,0.06144,0.572004,0.411539,0.575506,0.201425,0.086985,0.758388,0.163569,0.942153,0.249885,0.220821,0.29003,0.801702,0.491968,0.564258,0.538099,0.641559,0.447622,0.127702,0.953366,0.419591,0.815191,0.641239,0.876812,0.846621,0.321285,0.793234,0.696733,0.953479,0.08766,0.656125,0.784016,0.287296,0.950754,0.932279,0.891801,0.698994,0.316176,0.865163,0.598418,0.458338,0.943947,0.576095,0.951589,0.738553,0.654976,0.533169,0.332234,0.349463,0.325289,0.836452,0.697827,0.96624,0.69169,false,0.788094,0.000282,0.431073,0.050178,0.579946,0.689401,0.695275,0.484863,0.263903,0.946407,0.784379,0.433051,0.280843,0.998359,0.923579,0.622683,0.505801,0.873136,0.1722,0.62192,0.494585,0.345677,c0
0.520718,0.347359,0.604524,0.100012,0.622831,0.788233,0.054986,0.415261,0.954374,0.095473,0.32234,0.823232,0.951312,0.229104,0.94612,0.84876,0.412267,0.90485,0.538669,0.433076,0.829294,0.826366,0.897935,0.221642,0.643361,0.199208,0.894329,0.732708,0.646936,0.336099,0.717864,0.662012,0.179009,0.062543,0.010252,0.619038,0.461921,0.06244,0.126388,0.661588,0.414763,0.265311,0.270602,0.097928,0.54468,0.869881,0.535302,0.159546,0.065295,0.623194,0.933105,0.312658,0.220543,0.530102,0.358271,0.172812,0.902578,0.254856,0.039245,0.214532,0.043994,0.094746,0.45133,0.726719,0.93749,0.555083,0.846983,0.754546,0.590161,0.235538,0.530982,0.089912,0.454995,0.949732,0.758647,0.725015,0.398725,0.743155,0.667556,0.567427,0.563056,0.748881,0.966667,0.630077,0.855378,0.626257,0.201472,0.355838,0.165435,0.664588,0.289796,0.213964,0.046006,0.502084,0.680083,0.214387,0.518541,0.809675,0.922474,0.525963,0.868741,0.220022,0.662731,0.955997,0.782483,0.243931,0.070003,0.650962,0.939047,0.909547,0.491698,0.012077,0.226474,0.384145,0.692172,0.484487,0.072988,0.893951,0.376679,0.575026,0.998751,0.844384,0.82801,0.181148,0.383839,0.161262,0.390466,0.072336,0.621169,0.522902,0.224298,0.155384,0.277201,0.333757,0.223464,0.976214,0.618619,0.002105,0.240521,0.763429,0.879759,0.32748,0.794732,0.202612,0.94343,0.577974,0.252893,0.045389,0.686867,0.143162,0.067168,0.603586,0.104908,0.485346,0.030132,0.156352,0.464084,0.479968,0.664528,0.306879,0.164171,0.13546,0.803629,0.365429,0.687845,0.113453,0.137913,0.90664,0.004439,0.432188,0.004666,0.751628,0.060407,0.229151,0.979388,0.759193,0.53693,false,0.891353,0.975482,0.884234,0.153201,0.730387,0.887739,0.752514,0.273419,0.537918,0.755318,0.330968,0.171405,0.782566,0.249924,0.779301,0.114389,0.909032,0.927089,0.890157,0.37814,0.718755,0.372163,c0
0.356291,0.940572,0.991803,0.216669,0.532881,0.746513,0.291663,0.604627,0.383266,0.764384,0.208107,0.103516,0.375443,0.861189,0.387999,0.500813,0.45707,0.859123,0.579914,0.404612,0.878274,0.005269,0.57566,0.07558,0.554433,0.48529,0.370253,0.457583,0.865216,0.542648,0.081647,0.945578,0.271492,0.226836,0.172485,0.031912,0.898331,0.787248,0.298357,0.605971,0.280183,0.253731,0.670539,0.347141,0.793397,0.800534,0.165918,0.347349,0.91163,0.077277,0.542756,0.826977,0.311247,0.808723,0.028215,0.56675,0.026722,0.614564,0.232007,0.468207,0.310105,0.181084,0.810269,0.476695,0.584,0.628471,0.554748,0.953322,0.89408,0.160745,0.614613,0.466129,0.56504,0.859627,0.371645,0.885761,0.342966,0.789407,0.084349,0.617198,0.167468,0.416727,0.79245,0.776686,0.858516,0.717375,0.1305,0.131742,0.425774,0.241628,0.637771,0.662187,0.412331,0.840303,0.87136,0.671436,0.670072,0.715608,0.130396,0.479816,0.230538,0.954075,0.88146,0.86546,0.482978,0.723209,0.038825,0.583384,0.700397,0.86922,0.097826,0.489628,0.064742,0.74007,0.745667,0.024891,0.734002,0.676255,0.981184,0.070864,0.166804,0.761148,0.963565,0.482525,0.874235,0.10339,0.779761,0.920937,0.003931,0.135743,0.071288,0.963619,0.678117,0.157972,0.993345,0.853373,0.805081,0.625728,0.29267,0.661475,0.162727,0.4931,0.385254,0.087423,0.913155,0.253383,0.191031,0.594975,0.348835,0.190792,0.13988,0.093027,0.593805,0.755261,0.201749,0.909861,0.187406,0.903134,0.01345,0.380654,0.963429,0.708465,0.175632,0.970611,0.404143,0.542803,0.575678,0.489931,0.696538,0.645766,0.155755,0.621807,0.047203,0.964367,0.889945,0.68098,0.422623,true,0.860405,0.247906,0.773267,0.327788,0.229679,0.082349,0.972707,0.775806,0.594807,0.510315,0.157101,0.085508,0.678582,0.299456,0.885712,0.770183,0.56427,0.890683,0.559774,0.784549,0.712369,0.737457,c0
0.834814,0.066473,0.811422,0.419311,0.340692,0.125012,0.109658,0.142421,0.883939,0.959982,0.250183,0.217583,0.448588,0.966396,0.789693,0.114753,0.734548,0.376547,0.519141,0.733341,0.676649,0.223139,0.42453,0.598737,0.372882,0.768848,0.626971,0.798086,0.116909,0.840782,0.923365,0.602126,0.777808,0.532787,0.612575,0.884929,0.599093,0.294172,0.136638,0.649684,0.599431,0.510356,0.692578,0.196196,0.149038,0.2991,0.377592,0.724573,0.96863,0.395402,0.618852,0.459584,0.751875,0.678791,0.608922,0.701508,0.847664,0.108688,0.218715,0.561782,0.955107,0.576638,0.392194,0.525578,0.582018,0.458661,0.340466,0.398468,0.096756,0.456605,0.947657,0.64063,0.563635,0.65433,0.676913,0.569571,0.19372,0.582685,0.922143,0.421149,0.165688,0.486668,0.189539,0.798723,0.775506,0.918837,0.712682,0.611506,0.359067,0.244926,0.105987,0.205799,0.198496,0.640797,0.443498,0.026509,0.670709,0.684291,0.713485,0.811446,0.225894,0.70117,0.944048,0.017146,0.393952,0.611276,0.420905,0.902521,0.908518,0.139218,0.325751,0.455437,0.211056,0.903248,0.812081,0.137329,0.051593,0.07674,0.005065,0.24229,0.638052,0.028511,0.663062,0.519576,0.802692,0.591457,0.270578,0.592279,0.952071,0.383346,0.145947,0.619947,0.145994,0.9093,0.741752,0.59924,0.511315,0.012404,0.691961,0.674204,0.338008,0.607023,0.316996,0.836602,0.627824,0.528879,0.236428,0.436713,0.569918,0.766526,0.458703,0.996346,0.403191,0.300847,0.818298,0.918323,0.39171,0.272313,0.912928,0.820512,0.187388,0.220185,0.756884,0.387475,0.683237,0.693484,0.211349,0.82915,0.570854,0.620486,0.878461,0.263467,0.207372,0.44166,0.553172,0.598625,0.070009,false,0.51539,0.780781,0.03041,0.14626,0.914636,0.594187,0.916336,0.738511,0.250422,0.553367,0.344879,0.438532,0.483777,0.810697,0.609199,0.757095,0.628833,0.417798,0.479908,0.585736,0.768101,0.725441,c0
0.142558,0.299591,0.31105,0.184203,0.134314,0.666896,0.972828,0.316905,0.065716,0.039757,0.388427,0.173882,0.117562,0.231527,0.497359,0.153456,0.788278,0.947988,0.83482,0.672504,0.133755,0.632729,0.647629,0.805791,0.789465,0.11151,0.316624,0.677808,0.393809,0.476077,0.911992,0.087107,0.641939,0.234803,0.833929,0.570702,0.090972,0.87569,0.398304,0.874857,0.0103,0.636679,0.915438,0.58866,0.024842,0.458904,0.279853,0.518026,0.034418,0.810396,0.339826,0.230351,0.909037,0.310946,0.347797,0.083819,0.757731,0.863238,0.606171,0.970368,0.147676,0.30101,0.017765,0.947677,0.510697,0.401951,0.626138,0.912997,0.115834,0.48116,0.388275,0.480515,0.409536,0.680453,0.360549,0.26391,0.229109,0.49944,0.198632,0.837102,0.380423,0.076207,0.373011,0.748701,0.33748,0.218625,0.783949,0.099474,0.369288,0.211691,0.523259,0.357164,0.228595,0.981998,0.374961,0.279308,0.647386,0.287336,0.272851,0.042224,0.275651,0.217567,0.340285,0.933135,0.372777,0.442376,0.325901,0.252423,0.515025,0.322128,0.218777,0.394322,0.817896,0.209982,0.577474,0.426868,0.68881,0.016589,0.63964,0.875724,0.923344,0.383109,0.592334,0.831557,0.037409,0.613938,0.477959,0.946895,0.088073,0.857456,0.086663,0.365968,0.87735,0.891288,0.843288,0.139793,0.356121,0.267938,0.135442,0.218841,0.24947,0.507388,0.748974,0.686863,0.410038,0.485089,0.078128,0.502045,0.172635,0.157014,0.559859,0.645408,0.031179,0.287789,0.345293,0.241434,0.288138,0.903637,0.566017,0.912168,0.937009,0.778735,0.678877,0.353614,0.92995,0.381793,0.280187,0.881993,0.155575,0.359049,0.468715,0.487511,0.905957,0.810538,0.306559,0.754534,0.347311,false,0.17799,0.859649,0.525362,0.009408,0.878559,0.74284,0.734316,0.427308,0.080271,0.46206,0.657392,0.858294,0.413305,0.687794,0.547284,0.887247,0.780797,0.271703,0.856477,0.892625,0.680374,0.832262,c0
0.150219,0.80626,0.244646,0.34033,0.839046,0.975272,0.432551,0.758884,0.253104,0.915198,0.30447,0.893682,0.847112,0.236589,0.596205,0.745411,0.872683,0.051752,0.870433,0.818932,0.683783,0.72397,0.368952,0.041481,0.951501,0.908443,0.315013,0.16928,0.455872,0.452368,0.822269,0.820753,0.795368,0.870998,0.755334,0.564604,0.308756,0.79714,0.856695,0.812305,0.739396,0.013535,0.205663,0.617071,0.68863,0.420657,0.607305,0.86519,0.702775,0.566942,0.822759,0.760625,0.917341,0.17407,0.647079,0.950076,0.542433,0.426879,0.716695,0.113247,0.114915,0.665635,0.585855,0.35185,0.36574,0.517786,0.049839,0.250893,0.75498,0.437019,0.912499,0.057126,0.212421,0.079328,0.396634,0.022028,0.388204,0.938977,0.177955,0.590525,0.765823,0.191662,0.586837,0.78165,0.318926,0.747814,0.866839,0.803668,0.003688,0.105942,0.504876,0.673714,0.270128,0.714033,0.555224,0.370767,0.948616,0.196472,0.567974,0.840869,0.321901,0.984593,0.202272,0.994722,0.928331,0.600901,0.855708,0.6904,0.658573,0.090149,0.673375,0.577644,0.00595,0.86488,0.113651,0.595298,0.909647,0.538718,0.84246,0.859693,0.490379,0.157576,0.103745,0.659349,0.119698,0.607151,0.871112,0.280148,0.687008,0.874457,0.024089,0.42516,0.632403,0.27183,0.512168,0.064612,0.29886,0.693751,0.970761,0.654017,0.423849,0.469988,0.53545,0.79226,0.138345,0.402984,0.664366,0.556501,0.67027,0.13307,0.623279,0.947029,0.059777,0.062008,0.913937,0.102735,0.585387,0.683526,0.333435,0.206672,0.272818,0.318918,0.540865,0.291208,0.812489,0.936455,0.977219,0.473562,0.446988,0.945268,0.735507,0.505049,0.906422,0.597501,0.510268,0.901167,0.267418,true,0.069125,0.334674,0.690634,0.798405,0.783785,0.420103,0.351988,0.537478,0.633818,0.495715,0.524446,0.361627,0.753837,0.517652,0.690008,0.629037,0.033102,0.721119,0.765691,0.735432,0.496379,0.274683,c0
0.012607,0.509468,0.195789,0.756351,0.963882,0.790862,0.125657,0.913849,0.754971,0.419823,0.235831,0.836574,0.569067,0.921983,0.963654,0.362989,0.520606,0.759958,0.830778,0.274746,0.19153,0.140828,0.558218,0.587639,0.20776,0.018228,0.841504,0.039513,0.697485,0.108436,0.397558,0.696539,0.208183,0.451718,0.145864,0.451821,0.675928,0.293389,0.41873,0.074072,0.338358,0.833441,0.908939,0.379147,0.061799,0.699262,0.657792,0.043514,0.413384,0.83289,0.762518,0.556253,0.950612,0.852386,0.639283,0.81502,0.623641,0.846363,0.616473,0.911375,0.889707,0.991331,0.352667,0.722243,0.12442,0.343461,0.074698,0.026749,0.181285,0.649522,0.913415,0.001495,0.49865,0.046165,0.678246,0.112383,0.982375,0.072381,0.256374,0.617352,0.002894,0.5069,0.448339,0.121978,0.236896,0.160415,0.459076,0.888622,0.756766,0.901996,0.451898,0.889909,0.724966,0.879646,0.542653,0.918561,0.285926,0.106942,0.362251,0.418165,0.764617,0.330797,0.848005,0.083266,0.078798,0.369851,0.237676,0.692162,0.351071,0.918632,0.334878,0.082136,0.067194,0.149535,0.990431,0.654331,0.768733,0.312869,0.401517,0.304315,0.190966,0.934594,0.268939,0.21439,0.961056,0.142055,0.072538,0.515012,0.456874,0.109938,0.725768,0.425198,0.193439,0.611823,0.652686,0.115624,0.151802,0.187133,0.894075,0.203113,0.794305,0.488935,0.19413,0.48155,0.120491,0.964983,0.145165,0.221744,0.009534,0.142509,0.374946,0.131609,0.267947,0.43676,0.449821,0.858011,0.255375,0.583847,0.63646,0.732972,0.69667,0.510482,0.916064,0.319421,0.305034,0.696263,0.677086,0.195503,0.138867,0.858641,0.325994,0.331461,0.194056,0.096321,0.650341,0.359435,0.593804,false,0.144377,0.014021,0.879683,0.317889,0.664662,0.030261,0.330458,0.676462,0.721622,0.82574,0.939335,0.26041,0.432711,0.364773,0.665614,0.851588,0.66382,0.705205,0.843368,0.092803,0.167807,0.862131,c0
0.177575,0.880235,0.592484,0.787878,0.587271,0.054402,0.075144,0.46389,0.26563,0.182647,0.766661,0.327688,0.718452,0.844326,0.035455,0.516872,0.215452,0.979258,0.29006,0.702169,0.042775,0.540701,0.328777,0.602808,0.180565,0.905984,0.875866,0.630072,0.546,0.241135,0.495966,0.488634,0.740043,0.290229,0.391881,0.980338,0.315287,0.865851,0.685636,0.701375,0.942606,0.653997,0.658658,0.801348,0.495917,0.814878,0.084156,0.481492,0.997253,0.260522,0.223286,0.449364,0.568379,0.420727,0.276375,0.118627,0.020604,0.770829,0.081474,0.945044,0.480997,0.387931,0.634737,0.923635,0.501091,0.326615,0.570594,0.936963,0.42324,0.660877,0.084416,0.340809,0.390174,0.625877,0.906341,0.901032,0.274868,0.411324,0.842164,0.954217,0.980717,0.807674,0.085668,0.45472,0.016088,0.08702,0.976495,0.392045,0.9827,0.212449,0.128643,0.914995,0.633853,0.712818,0.886884,0.382856,0.456404,0.334295,0.881898,0.478883,0.309478,0.885704,0.049622,0.467675,0.513246,0.531591,0.856309,0.655547,0.922728,0.155137,0.627996,0.121797,0.9444,0.312403,0.821583,0.82881,0.157516,0.730114,0.794437,0.290238,0.187374,0.261057,0.130393,0.079006,0.744396,0.704358,0.862309,0.590723,0.290698,0.922302,0.994722,0.643078,0.624981,0.241044,0.574976,0.68812,0.786868,0.209445,0.187074,0.641831,0.07346,0.40846,0.149818,0.594232,0.633717,0.152892,0.889209,0.953239,0.060358,0.608019,0.924848,0.896849,0.634362,0.055483,0.661051,0.360711,0.393707,0.786022,0.70558,0.171962,0.995881,0.37103,0.752436,0.355238,0.422769,0.870577,0.159814,0.083056,0.936881,0.872474,0.230349,0.220305,0.33949,0.125086,0.857991,0.921376,0.504111,true,0.644306,0.278491,0.362814,0.359703,0.806768,0.591085,0.008278,0.937898,0.202538,0.428652,0.341031,0.192168,0.57348,0.293205,0.739219,0.289459,0.681642,0.352608,0.557319,0.799426,0.349134,0.412263,c1
0.861878,0.587125,0.971246,0.371688,0.128768,0.786533,0.558551,0.989393,0.162395,0.794033,0.695358,0.478943,0.978262,0.666311,0.761518,0.033308,0.53973,0.471686,0.465828,0.554893,0.637157,0.891236,0.050167,0.364643,0.836532,0.009399,0.409082,0.590738,0.533513,0.01866,0.290144,0.797939,0.352899,0.493659,0.960107,0.989944,0.618898,0.351911,0.722887,0.719653,0.388179,0.611539,0.457615,0.676011,0.585516,0.580802,0.90847,0.781166,0.110965,0.169893,0.802744,0.527945,0.397847,0.602366,0.99957,0.015196,0.792418,0.921743,0.778949,0.89734,0.298955,0.338245,0.069207,0.254513,0.6881,0.641264,0.880747,0.210956,0.701628,0.615119,0.464902,0.981871,0.103457,0.638765,0.748969,0.912726,0.624497,0.424597,0.411935,0.990056,0.428117,0.157086,0.560172,0.249077,0.583293,0.128967,0.338327,0.480968,0.174148,0.340804,0.967869,0.65149,0.097407,0.429213,0.644234,0.482621,0.303446,0.719666,0.443237,0.720185,0.22189,0.161712,0.888384,0.712999,0.379401,0.397644,0.112958,0.062851,0.765072,0.240003,0.614227,0.269639,0.328,0.389028,0.441838,0.492327,0.101936,0.308047,0.288451,0.773879,0.843515,0.792955,0.357884,0.337136,0.743422,0.921384,0.074522,0.848654,0.723956,0.747785,0.667469,0.868773,0.071799,0.322585,0.413895,0.058764,0.671406,0.356737,0.85826,0.099669,0.902271,0.127406,0.63757,0.692498,0.34244,0.026169,0.637556,0.455719,0.780981,0.488063,0.080627,0.013549,0.683743,0.907937,0.803695,0.077298,0.179549,0.550017,0.42242,0.862104,0.838117,0.387218,0.298189,0.752651,0.996317,0.268688,0.225065,0.734018,0.155999,0.807209,0.536234,0.737588,0.024453,0.902497,0.892889,0.716994,0.097688,true,0.363266,0.965363,0.297066,0.748646,0.525501,0.912652,0.061395,0.419837,0.235203,0.400669,0.469495,0.938041,0.387126,0.223413,0.422298,0.505709,0.470041,0.541634,0.648921,0.355764,0.964877,0.633093,c0
