%
% Commandline
%
% weka.datagenerators.classifiers.classification.RDG1 -r weka.datagenerators.classifiers.classification.RDG1-S_47_-n_200_-a_100_-c_2_-N_100_-I_0_-M_1_-R_10 -S 47 -n 200 -a 100 -c 2 -N 100 -I 0 -M 1 -R 10
%
@relation weka.datagenerators.classifiers.classification.RDG1-S_47_-n_200_-a_100_-c_2_-N_100_-I_0_-M_1_-R_10

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 {false,true}
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a65 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a68 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a71 numeric
@attribute a72 numeric
@attribute a73 numeric
@attribute a74 numeric
@attribute a75 numeric
@attribute a76 numeric
@attribute a77 numeric
@attribute a78 numeric
@attribute a79 numeric
@attribute a80 numeric
@attribute a81 numeric
@attribute a82 numeric
@attribute a83 numeric
@attribute a84 numeric
@attribute a85 numeric
@attribute a86 numeric
@attribute a87 numeric
@attribute a88 numeric
@attribute a89 numeric
@attribute a90 numeric
@attribute a91 numeric
@attribute a92 numeric
@attribute a93 numeric
@attribute a94 numeric
@attribute a95 numeric
@attribute a96 numeric
@attribute a97 numeric
@attribute a98 numeric
@attribute a99 numeric
@attribute class {c0,c1}

@data

0.919061,0.489205,0.213965,0.907245,0.666619,0.893032,0.925563,0.125958,0.724568,0.127921,0.373558,0.307285,0.460981,0.014268,0.214236,0.254066,0.470118,0.568846,0.887744,0.132308,0.365708,0.53232,0.404888,0.732751,0.768523,0.692762,0.43964,0.42118,0.848995,0.399345,0.258488,0.314777,0.228007,0.610605,0.288324,0.125071,0.387625,0.928121,0.801274,0.667658,0.998415,0.329132,0.277903,0.254646,0.731116,0.73057,0.4995,false,0.187854,0.09219,0.315621,0.059298,0.561669,0.4979,0.334864,0.389395,0.513039,0.542114,0.494817,0.695462,0.538224,0.391889,0.581426,0.678517,0.796609,0.095782,0.288491,0.091023,0.96288,0.066851,0.334782,0.297115,0.174734,0.179867,0.489279,0.962875,0.55798,0.591802,0.094271,0.566265,0.128243,0.219807,0.821595,0.194637,0.092128,0.792371,0.94901,0.532316,0.7006,0.527035,0.401749,0.031578,0.843429,0.781978,0.168527,0.007413,0.515982,0.478991,0.471792,0.799764,c0
0.722986,0.562865,0.267608,0.036881,0.915361,0.139478,0.835136,0.624223,0.735321,0.619605,0.920962,0.355455,0.317537,0.188986,0.911374,0.650057,0.916822,0.543745,0.621568,0.009996,0.327696,0.959386,0.594413,0.173184,0.298968,0.095472,0.018467,0.553739,0.253556,0.248803,0.874758,0.360053,0.386445,0.350884,0.637692,0.442834,0.132639,0.994766,0.227492,0.492656,0.072148,0.171809,0.939922,0.680183,0.570513,0.200723,0.763586,false,0.841049,0.539204,0.835955,0.562128,0.658935,0.782775,0.786297,0.328093,0.657495,0.175926,0.367046,0.766263,0.993421,0.387423,0.084696,0.05701,0.180432,0.134649,0.507126,0.268651,0.059765,0.481105,0.546343,0.80283,0.201111,0.276712,0.293939,0.828731,0.50906,0.2623,0.92114,0.843225,0.447793,0.817683,0.746131,0.030195,0.090727,0.196991,0.818417,0.534682,0.151995,0.365406,0.273321,0.11611,0.263103,0.228251,0.269243,0.899729,0.020798,0.126331,0.536181,0.106577,c0
0.751108,0.960754,0.436034,0.709593,0.509755,0.205895,0.963564,0.937205,0.570524,0.370977,0.301455,0.425556,0.540931,0.178737,0.3837,0.606673,0.288426,0.843875,0.418673,0.612298,0.0606,0.35454,0.476502,0.57167,0.539282,0.586824,0.054977,0.686505,0.081133,0.415261,0.004014,0.877491,0.066263,0.721594,0.310799,0.114028,0.101615,0.349547,0.026017,0.762578,0.807293,0.605149,0.046176,0.418861,0.051709,0.86011,0.557842,true,0.795368,0.180048,0.696665,0.617244,0.153313,0.66985,0.377412,0.291048,0.892679,0.405225,0.310772,0.940139,0.344528,0.402493,0.938549,0.968599,0.628057,0.067938,0.390892,0.957397,0.160475,0.963541,0.597566,0.132886,0.657299,0.527667,0.369816,0.466864,0.215498,0.597309,0.610196,0.823608,0.615875,0.192726,0.804832,0.761728,0.681266,0.045824,0.605865,0.697264,0.383566,0.780401,0.621437,0.139383,0.405326,0.485375,0.496361,0.621131,0.030559,0.661362,0.988715,0.765089,c1
0.480464,0.651086,0.572039,0.344036,0.615372,0.902979,0.409692,0.110632,0.896728,0.406045,0.960864,0.179554,0.133683,0.710231,0.794041,0.689942,0.38676,0.801837,0.926712,0.868089,0.271808,0.57089,0.327278,0.05414,0.052176,0.906238,0.272646,0.135022,0.338858,0.005911,0.395408,0.707982,0.848203,0.127997,0.712501,0.889913,0.202963,0.801237,0.791496,0.934744,0.204784,0.46472,0.481207,0.724462,0.354921,0.612523,0.310019,true,0.654825,0.781819,0.738381,0.485482,0.879366,0.141942,0.941146,0.681281,0.582869,0.017062,0.690969,0.129915,0.071756,0.406612,0.215697,0.018041,0.457462,0.455252,0.610736,0.318921,0.689453,0.868159,0.501596,0.926626,0.160518,0.467565,0.172364,0.458075,0.075183,0.442965,0.302569,0.449621,0.276939,0.360079,0.787952,0.140703,0.641141,0.662612,0.859887,0.159199,0.457787,0.226033,0.8637,0.201379,0.452048,0.504078,0.607933,0.233968,0.220285,0.946329,0.154545,0.836632,c0
0.700549,0.159282,0.75688,0.574929,0.043279,0.103377,0.561839,0.137539,0.108557,0.742748,0.147332,0.343413,0.38877,0.937792,0.803892,0.062271,0.498349,0.19177,0.870738,0.027374,0.666948,0.893809,0.761769,0.034255,0.793397,0.06233,0.642868,0.903384,0.389224,0.749946,0.93549,0.46791,0.346933,0.447647,0.881044,0.602497,0.230954,0.409043,0.116436,0.970419,0.708119,0.804773,0.583172,0.73343,0.80971,0.012611,0.12078,true,0.948568,0.150633,0.779837,0.708198,0.002449,0.168762,0.230751,0.532662,0.318773,0.428295,0.641482,0.383486,0.196075,0.719514,0.050739,0.180965,0.253951,0.094247,0.572715,0.381032,0.115953,0.723237,0.735306,0.244355,0.998853,0.227465,0.875763,0.200312,0.126892,0.578036,0.7961,0.438055,0.371056,0.711051,0.815116,0.486802,0.151138,0.461837,0.944728,0.083584,0.432281,0.287219,0.165381,0.069098,0.597891,0.514976,0.678606,0.400912,0.087257,0.536425,0.574388,0.628182,c1
0.95143,0.042386,0.909934,0.871488,0.750846,0.58265,0.52918,0.416394,0.601273,0.575058,0.473311,0.040706,0.815791,0.086484,0.750327,0.549539,0.413662,0.320377,0.541368,0.284646,0.489166,0.985246,0.149791,0.864947,0.632751,0.115016,0.186255,0.85958,0.566051,0.817479,0.134233,0.325293,0.219667,0.002268,0.335914,0.668272,0.456264,0.871219,0.740191,0.475112,0.52141,0.841682,0.462457,0.798401,0.090718,0.617283,0.320168,true,0.474234,0.320864,0.028666,0.444595,0.137649,0.960714,0.668485,0.518863,0.204792,0.013969,0.368394,0.171101,0.017,0.579948,0.887674,0.721107,0.142333,0.381417,0.926642,0.722122,0.451249,0.873214,0.546187,0.464382,0.005226,0.855358,0.0351,0.836855,0.54095,0.281705,0.928215,0.131326,0.275091,0.405432,0.648931,0.776261,0.603279,0.009048,0.42638,0.047495,0.021829,0.229338,0.720576,0.518592,0.261855,0.406608,0.378097,0.38578,0.192812,0.462754,0.136368,0.83072,c0
0.526135,0.544162,0.896387,0.268898,0.729537,0.053136,0.391728,0.672285,0.848641,0.735455,0.495907,0.151958,0.125015,0.19193,0.430734,0.639697,0.398323,0.038193,0.564994,0.817159,0.285164,0.949722,0.325837,0.407031,0.038321,0.99799,0.984499,0.562641,0.807517,0.008864,0.7235,0.370838,0.746419,0.155803,0.444189,0.417507,0.040493,0.638102,0.231564,0.955903,0.466469,0.088388,0.257503,0.465081,0.536538,0.303744,0.174089,false,0.629059,0.00131,0.725439,0.606393,0.762402,0.561888,0.389482,0.197588,0.829725,0.144026,0.350362,0.345956,0.17984,0.126254,0.997676,0.74072,0.402961,0.566594,0.450496,0.431842,0.060017,0.256145,0.312141,0.728804,0.880336,0.98752,0.975909,0.432108,0.644897,0.859065,0.32252,0.939636,0.570977,0.792282,0.576737,0.579584,0.518898,0.952531,0.423662,0.987503,0.752718,0.432063,0.224469,0.467067,0.304095,0.379611,0.316827,0.052467,0.212177,0.742221,0.937032,0.424957,c0
0.595662,0.196422,0.288716,0.093448,0.18616,0.833778,0.627989,0.026663,0.429695,0.584151,0.121553,0.970669,0.309064,0.550653,0.277322,0.699927,0.481149,0.728235,0.7185,0.409484,0.308212,0.334655,0.669369,0.269918,0.215934,0.927141,0.277784,0.821987,0.881776,0.320249,0.171022,0.248503,0.207424,0.090996,0.044936,0.409557,0.635533,0.63403,0.145948,0.282123,0.133671,0.312665,0.221216,0.106196,0.087316,0.24085,0.884411,false,0.418963,0.626621,0.372826,0.136435,0.481816,0.409395,0.356139,0.956812,0.664267,0.131416,0.797949,0.17608,0.185291,0.59798,0.868292,0.036086,0.261079,0.901509,0.558649,0.354091,0.679694,0.811363,0.960545,0.92262,0.833212,0.364248,0.134646,0.583857,0.42576,0.72934,0.119328,0.012196,0.401067,0.06778,0.906027,0.962168,0.114583,0.157912,0.143245,0.368873,0.412903,0.015676,0.921888,0.224153,0.077215,0.603812,0.241716,0.594142,0.037638,0.994043,0.661973,0.492466,c1
0.122374,0.170755,0.516896,0.747612,0.539921,0.214803,0.64521,0.441846,0.626431,0.989601,0.179429,0.638174,0.117464,0.506445,0.497066,0.960571,0.068824,0.941832,0.500344,0.06806,0.920161,0.577787,0.522183,0.545485,0.348785,0.656307,0.363779,0.499137,0.539093,0.830213,0.743967,0.541939,0.654127,0.311625,0.929803,0.725007,0.363188,0.394492,0.213304,0.500673,0.253042,0.759039,0.201067,0.986677,0.83015,0.853696,0.591472,true,0.607484,0.694015,0.228429,0.962064,0.461869,0.618282,0.741177,0.953735,0.046429,0.895969,0.006335,0.961372,0.5476,0.597869,0.00148,0.879419,0.487293,0.80571,0.35874,0.910376,0.588192,0.064227,0.072407,0.804661,0.943788,0.96012,0.366355,0.953635,0.86464,0.850032,0.68502,0.79785,0.808494,0.053608,0.135991,0.759673,0.744252,0.277903,0.482736,0.312722,0.14844,0.645862,0.962786,0.860158,0.587701,0.464253,0.789658,0.809675,0.501954,0.785435,0.1861,0.605103,c0
