%
% Commandline
%
% weka.datagenerators.classifiers.classification.RDG1 -r weka.datagenerators.classifiers.classification.RDG1-S_12_-n_200_-a_200_-c_2_-N_200_-I_0_-M_1_-R_10 -S 12 -n 200 -a 200 -c 2 -N 200 -I 0 -M 1 -R 10
%
@relation weka.datagenerators.classifiers.classification.RDG1-S_12_-n_200_-a_200_-c_2_-N_200_-I_0_-M_1_-R_10

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a65 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a68 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a71 numeric
@attribute a72 numeric
@attribute a73 numeric
@attribute a74 numeric
@attribute a75 numeric
@attribute a76 numeric
@attribute a77 numeric
@attribute a78 numeric
@attribute a79 numeric
@attribute a80 numeric
@attribute a81 numeric
@attribute a82 numeric
@attribute a83 numeric
@attribute a84 numeric
@attribute a85 numeric
@attribute a86 numeric
@attribute a87 numeric
@attribute a88 numeric
@attribute a89 numeric
@attribute a90 numeric
@attribute a91 numeric
@attribute a92 numeric
@attribute a93 numeric
@attribute a94 numeric
@attribute a95 numeric
@attribute a96 numeric
@attribute a97 numeric
@attribute a98 numeric
@attribute a99 numeric
@attribute a100 numeric
@attribute a101 numeric
@attribute a102 numeric
@attribute a103 numeric
@attribute a104 numeric
@attribute a105 numeric
@attribute a106 numeric
@attribute a107 numeric
@attribute a108 numeric
@attribute a109 numeric
@attribute a110 numeric
@attribute a111 numeric
@attribute a112 numeric
@attribute a113 numeric
@attribute a114 numeric
@attribute a115 numeric
@attribute a116 numeric
@attribute a117 numeric
@attribute a118 numeric
@attribute a119 numeric
@attribute a120 numeric
@attribute a121 numeric
@attribute a122 numeric
@attribute a123 numeric
@attribute a124 {false,true}
@attribute a125 numeric
@attribute a126 numeric
@attribute a127 numeric
@attribute a128 numeric
@attribute a129 numeric
@attribute a130 numeric
@attribute a131 numeric
@attribute a132 numeric
@attribute a133 numeric
@attribute a134 numeric
@attribute a135 numeric
@attribute a136 numeric
@attribute a137 numeric
@attribute a138 numeric
@attribute a139 numeric
@attribute a140 numeric
@attribute a141 numeric
@attribute a142 numeric
@attribute a143 numeric
@attribute a144 numeric
@attribute a145 numeric
@attribute a146 numeric
@attribute a147 numeric
@attribute a148 numeric
@attribute a149 numeric
@attribute a150 numeric
@attribute a151 numeric
@attribute a152 numeric
@attribute a153 numeric
@attribute a154 numeric
@attribute a155 numeric
@attribute a156 numeric
@attribute a157 numeric
@attribute a158 numeric
@attribute a159 numeric
@attribute a160 numeric
@attribute a161 numeric
@attribute a162 numeric
@attribute a163 numeric
@attribute a164 numeric
@attribute a165 numeric
@attribute a166 numeric
@attribute a167 numeric
@attribute a168 numeric
@attribute a169 numeric
@attribute a170 numeric
@attribute a171 numeric
@attribute a172 numeric
@attribute a173 numeric
@attribute a174 numeric
@attribute a175 numeric
@attribute a176 numeric
@attribute a177 numeric
@attribute a178 numeric
@attribute a179 numeric
@attribute a180 numeric
@attribute a181 numeric
@attribute a182 numeric
@attribute a183 numeric
@attribute a184 numeric
@attribute a185 numeric
@attribute a186 numeric
@attribute a187 numeric
@attribute a188 numeric
@attribute a189 numeric
@attribute a190 numeric
@attribute a191 numeric
@attribute a192 numeric
@attribute a193 numeric
@attribute a194 numeric
@attribute a195 numeric
@attribute a196 numeric
@attribute a197 numeric
@attribute a198 numeric
@attribute a199 numeric
@attribute class {c0,c1}

@data

0.88087,0.647519,0.499194,0.457044,0.352451,0.058999,0.638849,0.826497,0.706958,0.837973,0.528335,0.676566,0.932253,0.836269,0.199369,0.793488,0.814727,0.279557,0.124311,0.653941,0.152674,0.084938,0.766471,0.691038,0.820614,0.968541,0.526069,0.957165,0.422631,0.29337,0.433677,0.829691,0.195661,0.007033,0.381451,0.945613,0.027736,0.949654,0.902209,0.122496,0.941559,0.27419,0.507359,0.625589,0.160388,0.714544,0.376926,0.774819,0.921056,0.961246,0.758391,0.550367,0.52804,0.460192,0.775807,0.551844,0.75288,0.536789,0.476584,0.393628,0.574808,0.866064,0.850628,0.377675,0.431328,0.958675,0.244931,0.075214,0.601585,0.513451,0.066484,0.26996,0.080688,0.198988,0.917331,0.568087,0.319806,0.669989,0.337825,0.863921,0.504637,0.398467,0.147618,0.765413,0.624024,0.205582,0.968645,0.029708,0.440782,0.216784,0.890332,0.036665,0.618451,0.331142,0.394498,0.33699,0.680498,0.195092,0.595886,0.351668,0.182631,0.101553,0.573985,0.370672,0.464213,0.197253,0.072792,0.101473,0.611379,0.874256,0.127376,0.151656,0.812304,0.246138,0.239591,0.994983,0.114172,0.16487,0.570012,0.166554,0.701758,0.321425,0.239144,0.660222,false,0.591262,0.238161,0.760248,0.248752,0.935277,0.63796,0.829172,0.296686,0.847446,0.754966,0.89522,0.307306,0.552329,0.683186,0.235061,0.948326,0.89875,0.134153,0.531536,0.144177,0.170379,0.839944,0.601029,0.695166,0.839633,0.869149,0.131412,0.100135,0.628185,0.081648,0.349069,0.351919,0.105571,0.605278,0.042259,0.39779,0.456786,0.655976,0.908147,0.161156,0.980411,0.242663,0.762105,0.506115,0.34075,0.299145,0.750413,0.293124,0.590606,0.567533,0.34132,0.721828,0.505741,0.121138,0.534404,0.48624,0.82773,0.759548,0.424528,0.877797,0.598835,0.634555,0.984152,0.863427,0.890686,0.372829,0.686631,0.338599,0.877972,0.64973,0.383093,0.209453,0.389008,0.638334,0.666838,c0
0.733555,0.13173,0.186311,0.534509,0.991947,0.537198,0.512915,0.987766,0.73337,0.35343,0.172319,0.884391,0.195579,0.664188,0.007904,0.914032,0.863498,0.396443,0.742186,0.379676,0.869485,0.700136,0.247104,0.207179,0.556933,0.645812,0.92298,0.571128,0.594219,0.577554,0.444739,0.240589,0.589459,0.123679,0.463042,0.803962,0.50127,0.563968,0.458387,0.519046,0.266708,0.979724,0.837783,0.652627,0.974792,0.371757,0.536501,0.823269,0.602475,0.721404,0.841469,0.041688,0.799682,0.791022,0.888256,0.85499,0.460975,0.312905,0.300173,0.244206,0.85367,0.099355,0.735884,0.698996,0.885675,0.521719,0.691023,0.199036,0.691063,0.752439,0.759638,0.668527,0.087371,0.141744,0.702931,0.83843,0.615818,0.109378,0.095563,0.350438,0.814163,0.971812,0.023939,0.367365,0.09158,0.196656,0.29621,0.916545,0.075978,0.678562,0.890344,0.686001,0.586357,0.764645,0.914463,0.017548,0.44631,0.922555,0.182759,0.396672,0.199486,0.140553,0.620626,0.825935,0.413817,0.37654,0.104275,0.086811,0.668532,0.631735,0.012936,0.044287,0.50645,0.514774,0.725855,0.829226,0.603799,0.483253,0.531645,0.945378,0.160748,0.302312,0.934151,0.091133,false,0.643616,0.136844,0.760482,0.55898,0.16316,0.566866,0.493339,0.709378,0.842578,0.660168,0.982291,0.906772,0.856208,0.770846,0.110992,0.464059,0.734929,0.990551,0.398852,0.873875,0.137844,0.868037,0.257309,0.97841,0.11416,0.504182,0.924926,0.170748,0.340155,0.264478,0.941671,0.545946,0.449927,0.398816,0.547185,0.483594,0.243628,0.187473,0.44351,0.488302,0.253211,0.842605,0.949631,0.240511,0.873239,0.28611,0.693384,0.717319,0.023077,0.097595,0.635677,0.931413,0.096869,0.380282,0.402644,0.305975,0.778951,0.028047,0.613259,0.954392,0.154913,0.893354,0.133108,0.16582,0.432307,0.65375,0.95942,0.211144,0.500024,0.753645,0.748143,0.178577,0.501683,0.658466,0.83074,c1
0.891666,0.573206,0.503721,0.439195,0.260389,0.810111,0.416325,0.009071,0.465559,0.117415,0.861843,0.419348,0.723216,0.180909,0.602257,0.276013,0.287792,0.025569,0.58256,0.776677,0.942422,0.874711,0.275144,0.694741,0.479768,0.738603,0.001421,0.67407,0.711479,0.812865,0.370829,0.379878,0.256316,0.01801,0.829943,0.068101,0.600135,0.043658,0.198189,0.43339,0.695342,0.074479,0.981674,0.174974,0.67308,0.96961,0.202983,0.579983,0.07835,0.043277,0.462286,0.565416,0.406412,0.751604,0.953914,0.042804,0.618221,0.529025,0.202598,0.173712,0.743341,0.73748,0.35484,0.069583,0.640674,0.192531,0.963443,0.756008,0.480507,0.012764,0.337014,0.769392,0.535806,0.602328,0.691267,0.583052,0.426337,0.421182,0.535285,0.170161,0.046115,0.823586,0.953395,0.402532,0.022844,0.652628,0.702142,0.657116,0.707422,0.467031,0.331842,0.956154,0.372265,0.246213,0.863525,0.2023,0.509086,0.170561,0.904591,0.586635,0.859964,0.606094,0.470296,0.045318,0.089932,0.736182,0.193241,0.719752,0.814978,0.377693,0.049291,0.735477,0.03628,0.394939,0.205935,0.256604,0.899639,0.782,0.107845,0.695467,0.098508,0.922496,0.45446,0.161254,false,0.755596,0.295702,0.716749,0.392521,0.578021,0.074447,0.7789,0.996134,0.994057,0.078222,0.046797,0.902566,0.089021,0.427555,0.66973,0.290713,0.246397,0.424781,0.978356,0.851772,0.154804,0.814566,0.993616,0.725626,0.458201,0.266274,0.100867,0.756845,0.191205,0.178276,0.730819,0.889676,0.611117,0.725634,0.624224,0.233298,0.289247,0.925113,0.273831,0.571787,0.356341,0.375262,0.435011,0.867652,0.610379,0.24436,0.175542,0.613457,0.789778,0.025281,0.795378,0.722984,0.69096,0.553915,0.08887,0.021514,0.966514,0.796522,0.84471,0.294257,0.378638,0.951479,0.183012,0.282608,0.002265,0.48214,0.314257,0.979813,0.373283,0.800079,0.571479,0.070817,0.859455,0.451778,0.114859,c0
0.983439,0.572692,0.636065,0.688663,0.598726,0.427918,0.708275,0.622005,0.478982,0.402353,0.927529,0.642445,0.542913,0.423798,0.27114,0.27362,0.133298,0.185043,0.002039,0.16655,0.75957,0.323491,0.074221,0.814927,0.02772,0.78253,0.857001,0.859616,0.839068,0.747965,0.431982,0.723874,0.917049,0.694479,0.084874,0.477976,0.729878,0.499898,0.51365,0.770445,0.917071,0.289164,0.705232,0.382814,0.39902,0.65526,0.394796,0.465789,0.451412,0.170946,0.514955,0.796948,0.160048,0.652988,0.066487,0.463569,0.836637,0.469702,0.397949,0.2189,0.17249,0.292945,0.968426,0.386176,0.134498,0.087336,0.285816,0.59191,0.866638,0.802282,0.862498,0.798454,0.150245,0.186543,0.710858,0.075554,0.297597,0.380385,0.113094,0.301619,0.705894,0.456976,0.142844,0.517613,0.682501,0.882557,0.690659,0.97,0.567367,0.943976,0.550928,0.973858,0.624808,0.552581,0.464846,0.60328,0.65441,0.475014,0.882137,0.873402,0.779563,0.964338,0.603679,0.516871,0.412192,0.969016,0.397827,0.67728,0.963556,0.582617,0.145157,0.84311,0.473486,0.163709,0.059518,0.127904,0.964266,0.603291,0.057674,0.5659,0.990358,0.546157,0.405513,0.437065,true,0.983004,0.355684,0.76147,0.264242,0.521638,0.609706,0.010121,0.445665,0.818527,0.087006,0.767914,0.553335,0.106022,0.663988,0.554036,0.246477,0.485941,0.25818,0.256151,0.186195,0.676798,0.875648,0.666932,0.576182,0.199808,0.014276,0.424967,0.360469,0.567922,0.121198,0.256794,0.941033,0.902471,0.639566,0.792809,0.255633,0.54362,0.547996,0.387002,0.065014,0.643663,0.195467,0.308964,0.33868,0.436326,0.6651,0.396332,0.69971,0.860552,0.862153,0.756801,0.991636,0.48389,0.01475,0.391094,0.164199,0.21841,0.300253,0.671712,0.839819,0.15123,0.865876,0.457051,0.118914,0.922029,0.599028,0.246429,0.409761,0.471571,0.621055,0.18879,0.327338,0.658078,0.627453,0.946357,c0
0.995674,0.192436,0.878307,0.384184,0.409474,0.578516,0.854588,0.807587,0.863384,0.261539,0.339151,0.001617,0.840974,0.985249,0.955656,0.640243,0.17064,0.43774,0.004309,0.727622,0.701844,0.626178,0.770239,0.60982,0.232691,0.062218,0.348486,0.752579,0.928625,0.762787,0.428986,0.91917,0.012046,0.275017,0.415613,0.602152,0.073965,0.419431,0.715245,0.563786,0.961331,0.212123,0.025975,0.122096,0.827475,0.474492,0.978033,0.383056,0.598129,0.968224,0.536612,0.964102,0.801789,0.503535,0.162733,0.880122,0.440727,0.360315,0.846424,0.170348,0.337723,0.534648,0.775941,0.533014,0.183671,0.777301,0.587359,0.704382,0.33245,0.1261,0.850859,0.569719,0.242033,0.650753,0.693111,0.026029,0.344583,0.426483,0.229646,0.429824,0.043296,0.33198,0.786724,0.057945,0.480094,0.127499,0.729129,0.385407,0.695764,0.410561,0.078512,0.141502,0.812945,0.469533,0.006278,0.043821,0.912412,0.759505,0.715702,0.829641,0.344372,0.710186,0.189869,0.705037,0.319063,0.842192,0.775197,0.614362,0.754692,0.715911,0.594709,0.796185,0.52582,0.066248,0.340885,0.936492,0.451578,0.586916,0.084863,0.855976,0.59064,0.21951,0.356874,0.07541,true,0.475486,0.902267,0.791634,0.753974,0.273244,0.198086,0.766359,0.618453,0.00788,0.027139,0.381009,0.573361,0.087765,0.149592,0.643025,0.953312,0.969966,0.386602,0.242531,0.836898,0.805621,0.236117,0.853021,0.038639,0.166739,0.477913,0.745643,0.884488,0.967488,0.093098,0.443947,0.791935,0.615889,0.222711,0.584392,0.21576,0.635945,0.820727,0.367666,0.091793,0.485567,0.118691,0.986818,0.513587,0.062277,0.012355,0.200469,0.010669,0.436514,0.00511,0.7828,0.462099,0.681463,0.398695,0.926776,0.375355,0.278698,0.008525,0.803027,0.988084,0.470505,0.799208,0.384029,0.409056,0.102628,0.485178,0.331727,0.804715,0.955261,0.322081,0.216433,0.458974,0.295486,0.026427,0.58584,c1
0.628985,0.969548,0.575768,0.451724,0.5009,0.98308,0.032839,0.90347,0.865203,0.083813,0.245274,0.763335,0.541315,0.517432,0.802051,0.932315,0.179911,0.314144,0.160274,0.9667,0.254145,0.616308,0.969359,0.720306,0.789006,0.080831,0.634326,0.204669,0.967726,0.64883,0.659973,0.507079,0.880171,0.702622,0.209321,0.724494,0.585373,0.388868,0.48255,0.520776,0.348812,0.676766,0.976767,0.095388,0.384822,0.541445,0.422289,0.063552,0.685428,0.515272,0.207726,0.991092,0.549187,0.733573,0.404002,0.101547,0.237061,0.516288,0.076561,0.978844,0.777074,0.473404,0.435328,0.925709,0.315495,0.099505,0.513653,0.006167,0.569514,0.831612,0.490239,0.699896,0.874838,0.584492,0.47224,0.526875,0.041379,0.848913,0.542999,0.962644,0.731175,0.540875,0.144535,0.457714,0.354917,0.923618,0.412733,0.399019,0.546914,0.089252,0.91228,0.407023,0.123084,0.683148,0.328759,0.448953,0.052507,0.781767,0.066897,0.86685,0.380317,0.093388,0.376837,0.568482,0.228192,0.941235,0.584378,0.309904,0.968406,0.809809,0.236501,0.21027,0.418411,0.587735,0.49009,0.382764,0.435121,0.02426,0.869616,0.839848,0.601561,0.331567,0.598635,0.636745,true,0.311323,0.070334,0.553962,0.287745,0.861493,0.663927,0.487828,0.73775,0.228153,0.036585,0.11744,0.767154,0.907153,0.224649,0.347066,0.168494,0.671706,0.373278,0.484981,0.68177,0.804572,0.680228,0.11286,0.11658,0.247251,0.187356,0.124277,0.143013,0.043664,0.382512,0.466525,0.421537,0.152086,0.184864,0.706871,0.868016,0.426628,0.778271,0.662544,0.757288,0.328354,0.930191,0.983156,0.057162,0.716166,0.887713,0.754917,0.854442,0.888873,0.677637,0.907929,0.985557,0.9024,0.654146,0.451011,0.016603,0.069879,0.43546,0.332894,0.531082,0.467417,0.94995,0.034328,0.278338,0.214595,0.172568,0.832529,0.111691,0.276336,0.274022,0.047571,0.802462,0.541523,0.328002,0.479726,c0
0.754598,0.973812,0.425842,0.67745,0.364298,0.701381,0.033372,0.637594,0.270029,0.01487,0.691314,0.032601,0.020573,0.376573,0.708402,0.083857,0.752169,0.708991,0.325554,0.756046,0.310598,0.42711,0.939734,0.034228,0.879989,0.906349,0.367758,0.663592,0.587389,0.336884,0.803162,0.881178,0.740582,0.205098,0.073327,0.349575,0.326396,0.964205,0.039433,0.714508,0.147691,0.808629,0.498393,0.951356,0.50948,0.850502,0.743788,0.940123,0.678058,0.411697,0.021909,0.513975,0.431808,0.591094,0.479386,0.563423,0.89827,0.744316,0.840451,0.646377,0.529317,0.021951,0.974778,0.953702,0.504757,0.652348,0.7209,0.410596,0.074396,0.226322,0.815584,0.155982,0.349582,0.843669,0.546147,0.63533,0.837462,0.615174,0.790519,0.066672,0.574698,0.678837,0.438994,0.095293,0.062058,0.585316,0.801946,0.039464,0.327323,0.635158,0.499384,0.247755,0.351161,0.50913,0.501087,0.737876,0.779078,0.323059,0.44014,0.467681,0.312326,0.059816,0.058071,0.300837,0.421561,0.183677,0.656356,0.972877,0.059346,0.126046,0.726956,0.137734,0.861,0.246563,0.513596,0.880533,0.91807,0.81995,0.1159,0.919321,0.584655,0.576417,0.890064,0.086596,true,0.332324,0.322614,0.580891,0.421605,0.28775,0.257895,0.909348,0.029613,0.638977,0.345284,0.404123,0.670602,0.25639,0.838731,0.688625,0.908184,0.312114,0.429082,0.494018,0.117618,0.906726,0.618723,0.782063,0.053241,0.940677,0.258459,0.21731,0.415776,0.703611,0.258134,0.649785,0.41983,0.913529,0.155342,0.418777,0.550289,0.227814,0.18069,0.968934,0.666131,0.569404,0.693424,0.481852,0.36108,0.963942,0.377829,0.96946,0.022794,0.967526,0.388669,0.549935,0.345746,0.179724,0.71302,0.432561,0.147679,0.78279,0.376227,0.474818,0.215498,0.525581,0.761293,0.0432,0.563676,0.079439,0.233873,0.308635,0.926759,0.233371,0.469142,0.038077,0.527236,0.967109,0.362162,0.405723,c0
0.16106,0.04322,0.169966,0.340494,0.425299,0.393174,0.58144,0.450828,0.475899,0.237358,0.740184,0.623491,0.048248,0.575293,0.855863,0.980036,0.599212,0.409847,0.931203,0.992684,0.336558,0.828049,0.304591,0.210855,0.590116,0.851115,0.162378,0.230188,0.448805,0.787611,0.91031,0.247845,0.838587,0.676213,0.31013,0.791048,0.248666,0.288303,0.585233,0.980195,0.12671,0.075684,0.278372,0.993581,0.558597,0.394999,0.504743,0.237676,0.224187,0.317955,0.385407,0.095029,0.777817,0.345252,0.868829,0.021352,0.740721,0.382173,0.852444,0.19393,0.712274,0.405047,0.501477,0.875468,0.207972,0.350366,0.928897,0.150626,0.714244,0.892107,0.948166,0.716919,0.613713,0.937859,0.439623,0.9673,0.479211,0.87064,0.981629,0.688705,0.860852,0.790833,0.789243,0.318945,0.097695,0.271444,0.676033,0.853783,0.873979,0.429949,0.708722,0.176694,0.209681,0.441265,0.459741,0.795707,0.326087,0.968926,0.279346,0.714893,0.359303,0.375334,0.806802,0.442492,0.208135,0.986998,0.019267,0.94333,0.897439,0.136961,0.477328,0.680071,0.714091,0.184141,0.067758,0.756042,0.029876,0.218125,0.466922,0.571781,0.164134,0.697982,0.752344,0.338078,true,0.844934,0.075307,0.250272,0.938648,0.211301,0.07397,0.121646,0.514576,0.481886,0.75431,0.798244,0.645683,0.229025,0.895341,0.733051,0.727542,0.038825,0.645359,0.684423,0.994527,0.15362,0.867619,0.621806,0.434024,0.5345,0.966657,0.571178,0.098057,0.037792,0.380606,0.313358,0.267688,0.220637,0.660174,0.560188,0.176508,0.143407,0.07159,0.476801,0.031794,0.420422,0.958632,0.192567,0.885336,0.685522,0.678002,0.249007,0.500725,0.585314,0.782618,0.769847,0.739814,0.390447,0.269032,0.506571,0.148324,0.324082,0.128002,0.812234,0.359032,0.746735,0.141379,0.026969,0.65071,0.407979,0.853799,0.720529,0.501945,0.078019,0.914274,0.730358,0.261228,0.005957,0.530646,0.958142,c0
0.118133,0.816581,0.608941,0.443393,0.405182,0.653829,0.260039,0.319586,0.885925,0.606585,0.747653,0.876501,0.092017,0.711289,0.624489,0.101859,0.960547,0.115855,0.757529,0.755983,0.992593,0.310685,0.178758,0.245138,0.904949,0.685125,0.214245,0.302387,0.279225,0.051466,0.142329,0.759168,0.025959,0.193659,0.7108,0.496525,0.576131,0.944196,0.203259,0.001767,0.588441,0.770136,0.386502,0.824563,0.617943,0.358053,0.593582,0.625846,0.630085,0.227732,0.401324,0.443579,0.463958,0.975704,0.846417,0.261361,0.349514,0.352278,0.890798,0.958998,0.365753,0.009485,0.894923,0.248587,0.29034,0.422424,0.18658,0.255317,0.635853,0.182763,0.423283,0.98913,0.793841,0.59069,0.337877,0.071507,0.115079,0.230414,0.629842,0.731091,0.442909,0.004337,0.218856,0.262525,0.086259,0.922309,0.812587,0.854765,0.469926,0.794945,0.757214,0.938323,0.731934,0.863712,0.437098,0.975307,0.351226,0.315612,0.069062,0.92176,0.483735,0.576501,0.597148,0.428756,0.06079,0.254678,0.535272,0.216838,0.861077,0.615128,0.028089,0.957825,0.705854,0.504882,0.104447,0.428655,0.646823,0.721199,0.083195,0.66387,0.517053,0.916858,0.357675,0.326487,false,0.270608,0.333116,0.541436,0.415783,0.315875,0.120217,0.991397,0.336306,0.517112,0.698587,0.161786,0.631429,0.410724,0.655284,0.239797,0.124804,0.386264,0.276567,0.321837,0.091116,0.473673,0.725069,0.264342,0.863889,0.823599,0.269947,0.724877,0.55463,0.920371,0.054176,0.683588,0.918753,0.951001,0.680995,0.009502,0.717182,0.168633,0.98062,0.441801,0.017274,0.535124,0.678693,0.693158,0.752664,0.404997,0.329533,0.250334,0.518881,0.521806,0.80011,0.846701,0.020039,0.137959,0.794754,0.511975,0.801647,0.640366,0.395987,0.566387,0.905553,0.666805,0.363439,0.919674,0.865268,0.331685,0.980674,0.559683,0.02339,0.844929,0.568865,0.171049,0.497571,0.503993,0.396581,0.411324,c0
