%
% Commandline
%
% weka.datagenerators.classifiers.classification.RDG1 -r weka.datagenerators.classifiers.classification.RDG1-S_18_-n_400_-a_100_-c_2_-N_100_-I_0_-M_1_-R_10 -S 18 -n 400 -a 100 -c 2 -N 100 -I 0 -M 1 -R 10
%
@relation weka.datagenerators.classifiers.classification.RDG1-S_18_-n_400_-a_100_-c_2_-N_100_-I_0_-M_1_-R_10

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a65 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a68 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a71 numeric
@attribute a72 numeric
@attribute a73 numeric
@attribute a74 numeric
@attribute a75 numeric
@attribute a76 numeric
@attribute a77 numeric
@attribute a78 numeric
@attribute a79 numeric
@attribute a80 numeric
@attribute a81 numeric
@attribute a82 numeric
@attribute a83 numeric
@attribute a84 numeric
@attribute a85 numeric
@attribute a86 numeric
@attribute a87 numeric
@attribute a88 numeric
@attribute a89 numeric
@attribute a90 numeric
@attribute a91 numeric
@attribute a92 numeric
@attribute a93 numeric
@attribute a94 numeric
@attribute a95 numeric
@attribute a96 numeric
@attribute a97 numeric
@attribute a98 numeric
@attribute a99 numeric
@attribute class {c0,c1}

@data

0.981812,0.797323,0.735596,0.529415,0.910482,0.05202,0.383063,0.296984,0.063783,0.579105,0.450784,0.260417,0.477418,0.135482,0.669395,0.563394,0.647402,0.409116,0.348423,0.881527,0.307204,0.783181,0.017642,0.323016,0.87687,0.934273,0.862985,0.822701,0.786549,0.722253,0.327895,0.425027,0.784078,0.588037,0.423838,0.500902,0.024748,0.465729,0.747828,0.124031,0.211101,0.036755,0.94013,0.544287,0.301598,0.006211,0.331936,0.938795,0.339198,0.96541,0.83066,0.395843,0.764398,0.319677,0.669574,0.392394,0.171975,0.706697,0.50889,0.862887,0.846686,0.308303,0.516975,0.325169,0.570366,0.467326,0.483245,0.428837,0.13138,0.061225,0.718382,0.721906,0.687088,0.155461,0.482873,0.393654,0.630965,0.562134,0.951466,0.244646,0.898236,0.063202,0.269005,0.159363,0.707396,0.222616,0.082177,0.912521,0.579651,0.908015,0.04209,0.227067,0.104363,0.870149,0.164186,0.62004,0.325744,0.987009,0.604836,0.721847,c0
0.747251,0.087323,0.78821,0.694181,0.880465,0.62645,0.825026,0.96601,0.446692,0.75501,0.349344,0.370716,0.98717,0.426331,0.810959,0.847229,0.744669,0.709404,0.288475,0.743718,0.834616,0.53648,0.041262,0.465209,0.322724,0.260105,0.182519,0.87925,0.505773,0.622145,0.321381,0.215492,0.490057,0.011791,0.335474,0.610103,0.241121,0.695192,0.530049,0.892209,0.638744,0.036277,0.315813,0.687107,0.712743,0.596492,0.19479,0.419756,0.158012,0.400592,0.282023,0.342143,0.431312,0.58629,0.81066,0.279351,0.217706,0.117483,0.068947,0.391734,0.821084,0.23394,0.999856,0.884389,0.081123,0.834741,0.257588,0.260131,0.748101,0.048434,0.859874,0.408494,0.857349,0.829777,0.701025,0.550804,0.536716,0.541115,0.097853,0.820165,0.853278,0.125829,0.229106,0.045234,0.759631,0.661989,0.798772,0.127948,0.935447,0.796225,0.504562,0.257924,0.336581,0.801034,0.925156,0.09001,0.561865,0.7731,0.253214,0.92653,c1
0.816108,0.17723,0.366868,0.39581,0.43934,0.483664,0.108225,0.870621,0.87736,0.741782,0.282745,0.561219,0.385335,0.941849,0.654669,0.678139,0.152842,0.280439,0.402262,0.404645,0.642311,0.792355,0.397237,0.249135,0.953902,0.456983,0.812394,0.097214,0.769852,0.548134,0.638325,0.904846,0.807248,0.973989,0.831609,0.342208,0.865457,0.362558,0.239817,0.597243,0.492896,0.688079,0.15269,0.978609,0.017554,0.305099,0.314273,0.919594,0.186663,0.359506,0.497325,0.47778,0.943139,0.679552,0.289221,0.449602,0.929872,0.414994,0.567643,0.774665,0.157711,0.888706,0.254715,0.991534,0.898921,0.352717,0.329834,0.124944,0.275145,0.599368,0.754313,0.533739,0.197377,0.668346,0.915025,0.929526,0.285164,0.211649,0.429635,0.987972,0.143247,0.431047,0.672554,0.71779,0.906072,0.886417,0.178648,0.026915,0.274079,0.888363,0.160807,0.731001,0.360396,0.634816,0.737842,0.586319,0.542563,0.728857,0.110778,0.797269,c1
0.171102,0.223776,0.848458,0.848153,0.425271,0.881452,0.647493,0.439501,0.826026,0.901396,0.416907,0.771189,0.917205,0.980348,0.304474,0.407711,0.408197,0.196128,0.329555,0.48541,0.634796,0.874437,0.616377,0.07713,0.539694,0.293651,0.832016,0.116657,0.500035,0.810122,0.324983,0.403494,0.236691,0.745357,0.633124,0.857918,0.728359,0.166437,0.483686,0.376936,0.523363,0.51234,0.143722,0.35367,0.092973,0.87139,0.995627,0.165874,0.90229,0.598806,0.51044,0.713672,0.688258,0.878412,0.37065,0.392315,0.029025,0.778802,0.354609,0.722622,0.664919,0.331847,0.73622,0.229968,0.188484,0.170181,0.376475,0.062081,0.659522,0.300362,0.387462,0.266577,0.420806,0.659691,0.234857,0.611073,0.891098,0.2072,0.411487,0.321891,0.394354,0.433119,0.362423,0.141766,0.147445,0.33618,0.171149,0.662656,0.373487,0.114371,0.626719,0.976637,0.133801,0.042344,0.683394,0.306056,0.878797,0.267412,0.997128,0.423529,c0
0.567455,0.988822,0.462758,0.210117,0.079374,0.677159,0.045765,0.811399,0.855324,0.740288,0.379944,0.358421,0.078475,0.371997,0.60661,0.754088,0.564904,0.401754,0.008275,0.739014,0.021983,0.592137,0.849829,0.306238,0.459831,0.846144,0.036359,0.491779,0.196533,0.80145,0.00929,0.268588,0.430055,0.6725,0.100345,0.545882,0.663265,0.616332,0.641953,0.081524,0.36319,0.344335,0.493054,0.451982,0.111624,0.179683,0.280884,0.092626,0.161426,0.268962,0.582151,0.820468,0.751307,0.196567,0.471129,0.182186,0.751673,0.821714,0.347528,0.432114,0.21501,0.760464,0.723635,0.938108,0.18658,0.568948,0.698035,0.337569,0.694636,0.349007,0.172341,0.821586,0.184097,0.193755,0.477728,0.512081,0.783624,0.618134,0.96962,0.014978,0.703225,0.878269,0.321796,0.881867,0.748038,0.873536,0.705219,0.893269,0.403622,0.146483,0.772299,0.788528,0.1991,0.348323,0.38385,0.310544,0.08671,0.421492,0.313904,0.207924,c1
0.389789,0.665808,0.746598,0.142864,0.465951,0.801049,0.239749,0.289907,0.608201,0.11632,0.971287,0.778962,0.863935,0.805353,0.507609,0.035326,0.390286,0.626942,0.036983,0.500152,0.683947,0.100974,0.996514,0.176701,0.524655,0.553097,0.287763,0.940877,0.753665,0.454817,0.823967,0.578986,0.072087,0.670873,0.980926,0.07128,0.888644,0.422037,0.633936,0.726809,0.872403,0.998997,0.854802,0.393221,0.273248,0.521804,0.015761,0.11461,0.261362,0.329371,0.001298,0.291137,0.506674,0.90483,0.464139,0.606082,0.970241,0.595068,0.578357,0.729159,0.411743,0.766565,0.540339,0.079308,0.430741,0.4547,0.147478,0.735881,0.954094,0.009961,0.144815,0.92402,0.957885,0.72206,0.671446,0.368203,0.869452,0.911719,0.061352,0.207368,0.533574,0.519947,0.457444,0.095633,0.846622,0.795918,0.182922,0.57462,0.163426,0.287079,0.580692,0.796478,0.363859,0.96894,0.079398,0.201186,0.029598,0.017001,0.573768,0.807313,c1
0.526281,0.419587,0.817277,0.362385,0.912202,0.357892,0.41678,0.717139,0.501973,0.038308,0.191578,0.437351,0.602008,0.452185,0.113523,0.847641,0.404444,0.359429,0.780065,0.413489,0.27707,0.644892,0.388809,0.610948,0.719083,0.080308,0.479951,0.207887,0.065934,0.439554,0.292089,0.186296,0.62129,0.861307,0.437247,0.372091,0.270091,0.330717,0.742557,0.207013,0.783913,0.160493,0.528898,0.996646,0.968325,0.391839,0.300871,0.399223,0.521666,0.106978,0.80788,0.881815,0.975614,0.747531,0.702651,0.363673,0.370184,0.666798,0.571396,0.290871,0.37924,0.309054,0.938922,0.942104,0.44735,0.605237,0.962342,0.852384,0.124769,0.401952,0.91864,0.859547,0.194587,0.999512,0.264192,0.427897,0.374544,0.164757,0.99847,0.583982,0.345728,0.305711,0.299459,0.011403,0.611369,0.847643,0.914976,0.594734,0.22116,0.233905,0.591889,0.977024,0.710012,0.389965,0.904355,0.50104,0.69487,0.935324,0.202543,0.241307,c1
0.108243,0.828512,0.509646,0.626888,0.640355,0.532047,0.719899,0.372624,0.839226,0.225889,0.65109,0.835483,0.045017,0.018594,0.497188,0.34482,0.826265,0.70984,0.463763,0.806511,0.688202,0.141647,0.967378,0.776771,0.009997,0.64423,0.019497,0.255755,0.157493,0.168798,0.316169,0.387465,0.937731,0.270897,0.040117,0.714451,0.562515,0.710448,0.148453,0.628934,0.070527,0.068408,0.967099,0.18639,0.72095,0.445035,0.242084,0.50331,0.216307,0.001002,0.408254,0.547764,0.73817,0.830177,0.727509,0.249552,0.686666,0.411646,0.121576,0.506147,0.703131,0.678614,0.978374,0.841291,0.025029,0.563096,0.946419,0.185035,0.47321,0.727863,0.748306,0.487159,0.403815,0.080876,0.342153,0.650332,0.770611,0.5825,0.338994,0.575039,0.038262,0.802078,0.444467,0.945204,0.063024,0.657958,0.83474,0.751622,0.214577,0.783896,0.799459,0.449698,0.951176,0.004764,0.688633,0.078691,0.780053,0.475789,0.185681,0.631537,c1
0.035935,0.142111,0.195508,0.457528,0.192825,0.309189,0.184297,0.504495,0.487621,0.27968,0.636833,0.762857,0.478904,0.208657,0.407495,0.360759,0.790191,0.556604,0.132692,0.37773,0.69417,0.778391,0.545327,0.593683,0.382937,0.176496,0.486018,0.070749,0.738944,0.167997,0.641123,0.677344,0.172367,0.567438,0.554232,0.407053,0.622837,0.871422,0.255641,0.619299,0.136921,0.945843,0.933432,0.134455,0.527503,0.962967,0.4301,0.452959,0.497172,0.913084,0.990319,0.236149,0.264951,0.524269,0.608262,0.585976,0.174182,0.963814,0.526977,0.591381,0.979105,0.266181,0.927718,0.071062,0.508656,0.034875,0.613691,0.435511,0.18822,0.599428,0.54053,0.115626,0.463557,0.473692,0.374958,0.060842,0.515857,0.657978,0.873382,0.396664,0.782836,0.055076,0.763826,0.44965,0.708034,0.029,0.987412,0.997274,0.828933,0.925334,0.609743,0.780809,0.784245,0.193346,0.447859,0.031238,0.071712,0.602587,0.475055,0.001414,c0
