%
% Commandline
%
% weka.datagenerators.classifiers.classification.RDG1 -r weka.datagenerators.classifiers.classification.RDG1-S_34_-n_400_-a_200_-c_2_-N_200_-I_0_-M_1_-R_10 -S 34 -n 400 -a 200 -c 2 -N 200 -I 0 -M 1 -R 10
%
@relation weka.datagenerators.classifiers.classification.RDG1-S_34_-n_400_-a_200_-c_2_-N_200_-I_0_-M_1_-R_10

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a65 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a68 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a71 numeric
@attribute a72 numeric
@attribute a73 numeric
@attribute a74 numeric
@attribute a75 numeric
@attribute a76 numeric
@attribute a77 numeric
@attribute a78 numeric
@attribute a79 numeric
@attribute a80 numeric
@attribute a81 numeric
@attribute a82 numeric
@attribute a83 numeric
@attribute a84 numeric
@attribute a85 numeric
@attribute a86 numeric
@attribute a87 numeric
@attribute a88 numeric
@attribute a89 numeric
@attribute a90 numeric
@attribute a91 numeric
@attribute a92 numeric
@attribute a93 numeric
@attribute a94 numeric
@attribute a95 numeric
@attribute a96 numeric
@attribute a97 numeric
@attribute a98 numeric
@attribute a99 numeric
@attribute a100 numeric
@attribute a101 numeric
@attribute a102 numeric
@attribute a103 numeric
@attribute a104 numeric
@attribute a105 numeric
@attribute a106 numeric
@attribute a107 numeric
@attribute a108 numeric
@attribute a109 numeric
@attribute a110 numeric
@attribute a111 numeric
@attribute a112 numeric
@attribute a113 numeric
@attribute a114 numeric
@attribute a115 numeric
@attribute a116 numeric
@attribute a117 numeric
@attribute a118 numeric
@attribute a119 numeric
@attribute a120 numeric
@attribute a121 numeric
@attribute a122 numeric
@attribute a123 numeric
@attribute a124 numeric
@attribute a125 numeric
@attribute a126 numeric
@attribute a127 numeric
@attribute a128 numeric
@attribute a129 numeric
@attribute a130 numeric
@attribute a131 numeric
@attribute a132 numeric
@attribute a133 numeric
@attribute a134 numeric
@attribute a135 numeric
@attribute a136 numeric
@attribute a137 numeric
@attribute a138 numeric
@attribute a139 numeric
@attribute a140 numeric
@attribute a141 numeric
@attribute a142 numeric
@attribute a143 numeric
@attribute a144 numeric
@attribute a145 numeric
@attribute a146 numeric
@attribute a147 numeric
@attribute a148 numeric
@attribute a149 numeric
@attribute a150 numeric
@attribute a151 numeric
@attribute a152 numeric
@attribute a153 numeric
@attribute a154 numeric
@attribute a155 numeric
@attribute a156 numeric
@attribute a157 numeric
@attribute a158 numeric
@attribute a159 numeric
@attribute a160 numeric
@attribute a161 numeric
@attribute a162 numeric
@attribute a163 numeric
@attribute a164 numeric
@attribute a165 numeric
@attribute a166 numeric
@attribute a167 numeric
@attribute a168 numeric
@attribute a169 numeric
@attribute a170 numeric
@attribute a171 numeric
@attribute a172 numeric
@attribute a173 numeric
@attribute a174 {false,true}
@attribute a175 numeric
@attribute a176 numeric
@attribute a177 numeric
@attribute a178 numeric
@attribute a179 numeric
@attribute a180 numeric
@attribute a181 numeric
@attribute a182 numeric
@attribute a183 numeric
@attribute a184 numeric
@attribute a185 numeric
@attribute a186 numeric
@attribute a187 numeric
@attribute a188 numeric
@attribute a189 numeric
@attribute a190 numeric
@attribute a191 numeric
@attribute a192 numeric
@attribute a193 numeric
@attribute a194 numeric
@attribute a195 numeric
@attribute a196 numeric
@attribute a197 numeric
@attribute a198 numeric
@attribute a199 numeric
@attribute class {c0,c1}

@data

0.975952,0.743728,0.086794,0.214733,0.200975,0.91892,0.729088,0.933455,0.879586,0.456364,0.104607,0.476991,0.621303,0.457429,0.77056,0.049913,0.322507,0.819949,0.642219,0.739361,0.804724,0.436686,0.60145,0.439004,0.856791,0.769905,0.410642,0.658635,0.497851,0.907293,0.436949,0.813432,0.536872,0.877349,0.841168,0.775376,0.794459,0.956434,0.566249,0.439061,0.673987,0.935056,0.672342,0.805098,0.12165,0.827549,0.308444,0.616547,0.398784,0.307149,0.885143,0.897276,0.504883,0.227588,0.818592,0.835892,0.536001,0.952684,0.552781,0.334846,0.740779,0.856966,0.435342,0.201556,0.545125,0.283283,0.421505,0.396855,0.35661,0.4474,0.511534,0.975808,0.530939,0.264958,0.28884,0.356916,0.485381,0.842775,0.91917,0.337946,0.577857,0.424305,0.495654,0.840114,0.035394,0.908193,0.670178,0.70706,0.911958,0.6692,0.09846,0.01104,0.783227,0.302369,0.344357,0.22599,0.644624,0.084181,0.538365,0.315584,0.269011,0.39852,0.265923,0.254133,0.101688,0.110639,0.87306,0.749167,0.622924,0.888912,0.620059,0.966751,0.992,0.772005,0.888277,0.874053,0.701805,0.858219,0.950867,0.408452,0.919313,0.854073,0.655101,0.058397,0.164791,0.360847,0.732144,0.598483,0.991402,0.200611,0.349546,0.659701,0.366888,0.787383,0.95237,0.535497,0.530312,0.534436,0.400817,0.125313,0.199381,0.555322,0.905332,0.199454,0.137654,0.464089,0.284642,0.23264,0.255988,0.909232,0.627774,0.898312,0.618848,0.586275,0.528095,0.941729,0.953666,0.865509,0.675492,0.557156,0.520212,0.844221,0.742313,0.582862,0.486969,0.586886,0.179274,0.797433,0.282822,0.552123,0.749512,0.351838,0.744877,0.721839,false,0.903938,0.267035,0.745807,0.120704,0.335587,0.56899,0.494058,0.028951,0.027218,0.151579,0.769794,0.690533,0.540769,0.981997,0.577139,0.510809,0.219038,0.461129,0.260906,0.865624,0.648029,0.265333,0.03964,0.353958,0.14858,c0
0.017016,0.05281,0.808285,0.058992,0.186255,0.54562,0.660645,0.699809,0.346522,0.901865,0.240365,0.947287,0.97613,0.061979,0.816814,0.60058,0.011939,0.540346,0.633834,0.047463,0.299575,0.929771,0.51079,0.770858,0.685485,0.927291,0.815718,0.465957,0.328756,0.015144,0.439737,0.535051,0.608455,0.205136,0.715383,0.142228,0.081348,0.060294,0.316259,0.456385,0.305233,0.544626,0.051345,0.188554,0.984677,0.11996,0.124572,0.038299,0.818853,0.908246,0.868718,0.204015,0.635232,0.66839,0.182404,0.683234,0.878257,0.798571,0.899978,0.691563,0.288717,0.568184,0.106269,0.162715,0.657413,0.307951,0.971674,0.957082,0.865771,0.342416,0.027791,0.102622,0.036449,0.035934,0.929761,0.119358,0.508551,0.441458,0.658713,0.237574,0.524953,0.690822,0.806207,0.109847,0.973296,0.445882,0.052256,0.438318,0.257606,0.441793,0.199522,0.791165,0.394058,0.396884,0.158486,0.766034,0.72229,0.337963,0.091875,0.573187,0.202736,0.695603,0.52135,0.057469,0.130842,0.360818,0.575454,0.155683,0.240584,0.262759,0.715017,0.794793,0.592602,0.926413,0.210717,0.27638,0.346335,0.900016,0.367207,0.264094,0.500907,0.903743,0.989203,0.593362,0.956112,0.044464,0.867147,0.256412,0.792701,0.465698,0.123547,0.080716,0.500271,0.357644,0.105809,0.815225,0.991406,0.339001,0.137362,0.566332,0.632337,0.840509,0.846102,0.784281,0.19321,0.269541,0.977648,0.290754,0.575189,0.415725,0.570656,0.159703,0.406937,0.769509,0.12237,0.615997,0.119649,0.168738,0.904866,0.500248,0.907644,0.46273,0.905878,0.263238,0.060633,0.688987,0.962849,0.899643,0.514118,0.594618,0.534816,0.708276,0.106018,0.202687,false,0.274904,0.950403,0.523139,0.517176,0.613677,0.543387,0.438587,0.717576,0.974537,0.70154,0.257208,0.477156,0.426508,0.199793,0.418098,0.82366,0.960527,0.023662,0.358908,0.578478,0.520566,0.479723,0.611207,0.686998,0.068031,c1
0.292789,0.794454,0.270109,0.182282,0.788355,0.960042,0.863957,0.515533,0.107106,0.319331,0.722713,0.324598,0.852394,0.591217,0.838139,0.991769,0.191716,0.089787,0.769659,0.708028,0.4373,0.170934,0.553236,0.821375,0.004599,0.803127,0.501237,0.658927,0.011413,0.426688,0.851805,0.296231,0.179795,0.704373,0.766312,0.951303,0.633524,0.985814,0.744739,0.166263,0.645878,0.309325,0.131386,0.706044,0.385587,0.546823,0.017087,0.151496,0.233254,0.861083,0.509156,0.493323,0.296213,0.989272,0.036573,0.643612,0.336698,0.992683,0.085467,0.673356,0.44635,0.019829,0.518718,0.757185,0.449536,0.318505,0.423581,0.260651,0.198566,0.202192,0.252473,0.14074,0.635875,0.927111,0.874651,0.846912,0.741329,0.468507,0.040266,0.207791,0.257289,0.998166,0.673322,0.367759,0.389696,0.459956,0.356379,0.69803,0.520363,0.0161,0.347349,0.748412,0.333825,0.294161,0.477543,0.728793,0.661514,0.303168,0.320156,0.713495,0.776693,0.607058,0.089678,0.746997,0.835475,0.844562,0.835231,0.296129,0.652458,0.966914,0.624669,0.041674,0.023871,0.62823,0.581259,0.831451,0.366842,0.008118,0.831095,0.727266,0.530268,0.97207,0.646917,0.469735,0.250961,0.882426,0.332801,0.357852,0.878135,0.561133,0.684215,0.494248,0.669998,0.875303,0.179244,0.582444,0.17808,0.167513,0.40931,0.979029,0.97813,0.28502,0.6415,0.501512,0.280816,0.27557,0.819682,0.571713,0.761115,0.912163,0.757836,0.634913,0.282223,0.085144,0.756594,0.436581,0.057938,0.757215,0.382775,0.661345,0.196932,0.615412,0.691721,0.642978,0.502936,0.77386,0.743537,0.339521,0.866837,0.882052,0.866885,0.534268,0.579794,0.775666,true,0.271191,0.420934,0.370367,0.165769,0.86247,0.428831,0.843813,0.61649,0.41618,0.852896,0.277021,0.346541,0.723734,0.898968,0.833506,0.38611,0.519597,0.532796,0.243053,0.51428,0.579822,0.7858,0.826746,0.633492,0.861371,c1
0.719372,0.550811,0.962121,0.900738,0.447167,0.6291,0.327906,0.98827,0.389253,0.007479,0.760014,0.213675,0.237629,0.658142,0.52382,0.338558,0.949549,0.987836,0.720011,0.593423,0.453268,0.821202,0.578413,0.919446,0.650201,0.358923,0.616987,0.879402,0.728198,0.230102,0.907724,0.4475,0.76251,0.259251,0.793697,0.15448,0.074211,0.850516,0.535347,0.612154,0.840248,0.955229,0.529077,0.270722,0.004952,0.433616,0.937566,0.372483,0.629756,0.247448,0.7987,0.45723,0.43604,0.32767,0.938855,0.447403,0.445429,0.149499,0.306282,0.295236,0.302526,0.017231,0.661625,0.409442,0.077006,0.811954,0.915162,0.595599,0.085112,0.48759,0.784147,0.042253,0.545066,0.914196,0.858639,0.963858,0.686522,0.762135,0.610547,0.872003,0.271133,0.996734,0.358096,0.088011,0.349448,0.210283,0.706775,0.032817,0.478797,0.456658,0.527798,0.034157,0.55745,0.473637,0.106464,0.876422,0.892269,0.178909,0.695284,0.085178,0.110254,0.108024,0.340578,0.986147,0.048753,0.026004,0.51625,0.907602,0.814817,0.289066,0.794759,0.505437,0.791063,0.658871,0.512835,0.081805,0.48359,0.178954,0.148277,0.941041,0.756888,0.411465,0.914214,0.28072,0.181378,0.802063,0.898492,0.851021,0.931091,0.191807,0.928402,0.632193,0.912197,0.52708,0.22473,0.07775,0.57748,0.632106,0.82418,0.050153,0.187544,0.503289,0.695482,0.436044,0.116427,0.960631,0.452049,0.569752,0.167481,0.648681,0.572838,0.016593,0.76477,0.317963,0.083107,0.971624,0.315939,0.037533,0.718044,0.514841,0.004371,0.490322,0.694779,0.230424,0.761652,0.785124,0.352113,0.245476,0.195771,0.282581,0.082277,0.572809,0.806122,0.777231,false,0.752684,0.903326,0.003666,0.424719,0.180004,0.270024,0.842081,0.599902,0.176321,0.748228,0.786962,0.184805,0.820119,0.619459,0.212388,0.098635,0.784166,0.855841,0.718407,0.470953,0.945373,0.063461,0.37516,0.92526,0.3304,c0
0.21373,0.994917,0.240809,0.039379,0.064155,0.656908,0.708598,0.150483,0.506806,0.585801,0.975026,0.249639,0.95099,0.141932,0.675489,0.15257,0.245989,0.119826,0.700232,0.590425,0.580438,0.771327,0.506067,0.11563,0.256798,0.97058,0.490087,0.251176,0.232567,0.720373,0.075325,0.954424,0.844265,0.762802,0.823323,0.795596,0.185906,0.40196,0.584869,0.861497,0.200592,0.772319,0.427703,0.286579,0.661994,0.693709,0.838789,0.48634,0.87195,0.942264,0.48877,0.622143,0.081025,0.236444,0.667531,0.561878,0.350823,0.488213,0.352321,0.617516,0.819999,0.901667,0.753688,0.638441,0.110314,0.314914,0.099495,0.618534,0.91478,0.775696,0.363615,0.835377,0.646807,0.717254,0.623388,0.681498,0.397469,0.258129,0.738772,0.770457,0.3474,0.08812,0.086101,0.604672,0.210495,0.122271,0.150703,0.077231,0.248514,0.605821,0.885127,0.34654,0.888841,0.635203,0.873555,0.170498,0.002077,0.123709,0.507979,0.616018,0.451794,0.08513,0.578044,0.170031,0.615703,0.734674,0.903972,0.669742,0.195646,0.313684,0.900782,0.142731,0.783253,0.73316,0.252064,0.601619,0.328729,0.100813,0.192851,0.073352,0.872208,0.947352,0.253655,0.65977,0.640214,0.499938,0.70156,0.223962,0.884237,0.664209,0.32926,0.376043,0.644059,0.471018,0.689258,0.792291,0.955385,0.619979,0.347954,0.54324,0.889529,0.409181,0.243142,0.029126,0.212269,0.77886,0.768504,0.325218,0.379686,0.416587,0.779934,0.224907,0.05071,0.872476,0.321089,0.035018,0.289249,0.415167,0.499366,0.225682,0.15319,0.922796,0.608506,0.366183,0.42325,0.447899,0.29035,0.388573,0.81154,0.221181,0.255789,0.112417,0.107872,0.766285,true,0.136917,0.371284,0.486201,0.487126,0.66074,0.45488,0.551666,0.975704,0.525229,0.864021,0.172873,0.258997,0.793303,0.191066,0.368058,0.415269,0.474153,0.144267,0.155992,0.328421,0.58301,0.494092,0.694137,0.560506,0.585545,c0
0.097161,0.2602,0.885245,0.41811,0.526153,0.132053,0.95671,0.697861,0.733435,0.35945,0.627344,0.440907,0.606859,0.140712,0.500809,0.591987,0.238058,0.018523,0.40768,0.935759,0.216748,0.391194,0.625795,0.507682,0.288967,0.899259,0.832094,0.451504,0.272826,0.091955,0.969108,0.38079,0.212277,0.40415,0.436748,0.693483,0.367556,0.881479,0.278872,0.961356,0.790387,0.279955,0.324133,0.470312,0.912683,0.136019,0.56189,0.222842,0.78939,0.153994,0.38653,0.230557,0.379321,0.79011,0.727304,0.722552,0.52218,0.225778,0.495849,0.974469,0.075695,0.017477,0.229836,0.823467,0.013674,0.586626,0.28874,0.575938,0.153942,0.370025,0.466498,0.937609,0.584561,0.889931,0.425883,0.799825,0.787393,0.222552,0.930689,0.201119,0.919958,0.344734,0.454375,0.54981,0.709728,0.620835,0.377595,0.241183,0.939411,0.255246,0.652103,0.131945,0.557413,0.880765,0.504769,0.944981,0.034629,0.578997,0.483025,0.569032,0.706829,0.536169,0.901825,0.390797,0.491356,0.226252,0.542248,0.251011,0.547497,0.482981,0.273147,0.351467,0.161801,0.073355,0.119834,0.456496,0.382805,0.417427,0.187502,0.030299,0.704013,0.912659,0.762211,0.530628,0.399647,0.915862,0.858483,0.93964,0.954629,0.811694,0.460123,0.754389,0.398367,0.753936,0.709684,0.082231,0.251382,0.604236,0.341998,0.190545,0.224439,0.312728,0.728505,0.845523,0.771787,0.485928,0.001667,0.041364,0.09326,0.169515,0.862496,0.269092,0.204407,0.937105,0.839321,0.303275,0.249489,0.220826,0.962159,0.595326,0.319102,0.445497,0.044624,0.753615,0.652316,0.935443,0.024093,0.263523,0.252681,0.751438,0.100871,0.554625,0.62808,0.585,true,0.757576,0.576338,0.588266,0.939128,0.009855,0.681649,0.549838,0.594292,0.967384,0.461313,0.140553,0.121225,0.258127,0.907939,0.047773,0.047679,0.974153,0.509145,0.692827,0.680534,0.940211,0.695019,0.883436,0.504859,0.419747,c1
0.062956,0.191435,0.499425,0.123384,0.660175,0.065831,0.125998,0.870233,0.066155,0.692218,0.352316,0.019011,0.010348,0.391783,0.702445,0.833792,0.784976,0.916639,0.993209,0.278316,0.768373,0.342915,0.111733,0.343137,0.961245,0.389033,0.916631,0.90149,0.556386,0.893828,0.104185,0.262606,0.211798,0.877621,0.67089,0.045309,0.877844,0.07912,0.425034,0.730083,0.740945,0.111956,0.852527,0.264392,0.089539,0.416924,0.525953,0.393894,0.68239,0.999458,0.160906,0.971283,0.505027,0.536597,0.369913,0.354853,0.637011,0.813682,0.141817,0.150488,0.32086,0.608237,0.083268,0.973593,0.222912,0.076988,0.499016,0.611649,0.307054,0.421668,0.458976,0.953357,0.704148,0.110263,0.102604,0.316989,0.453178,0.212561,0.564861,0.358391,0.014525,0.47235,0.07315,0.568191,0.011469,0.583339,0.960823,0.478107,0.742897,0.761847,0.570464,0.087878,0.628403,0.116532,0.278899,0.697157,0.896344,0.503925,0.165928,0.280835,0.506097,0.528223,0.170093,0.781597,0.507665,0.094826,0.927288,0.210137,0.784973,0.459261,0.871859,0.241271,0.403559,0.026693,0.594822,0.07334,0.589079,0.251873,0.900173,0.678592,0.69993,0.865396,0.477773,0.213887,0.425468,0.309362,0.620068,0.283867,0.840706,0.703995,0.949979,0.952888,0.879058,0.886514,0.698563,0.887318,0.246582,0.064518,0.673576,0.776431,0.794366,0.408394,0.693886,0.227974,0.890097,0.470691,0.929705,0.663579,0.385522,0.665184,0.284888,0.34956,0.363438,0.164285,0.68512,0.590207,0.965976,0.480703,0.894562,0.283573,0.255403,0.687737,0.273597,0.493838,0.239302,0.702288,0.711579,0.429671,0.903899,0.305696,0.821062,0.23464,0.342503,0.609676,false,0.293554,0.8404,0.48816,0.793336,0.337722,0.083228,0.090547,0.747202,0.492479,0.492773,0.927841,0.295409,0.55191,0.062293,0.180394,0.765572,0.188577,0.962862,0.814444,0.001139,0.510137,0.622942,0.814358,0.982446,0.360109,c1
0.945253,0.338483,0.842298,0.026619,0.818214,0.888702,0.441632,0.570847,0.103617,0.647319,0.835857,0.815961,0.837865,0.979567,0.158765,0.147703,0.471042,0.726055,0.678426,0.669365,0.586208,0.316675,0.038288,0.926789,0.690756,0.925959,0.986743,0.373072,0.352321,0.859634,0.219683,0.978051,0.163648,0.113059,0.31314,0.904225,0.763989,0.574493,0.106882,0.968632,0.419002,0.659582,0.314865,0.689281,0.466818,0.258218,0.584743,0.075129,0.274828,0.750871,0.706186,0.960145,0.219906,0.508728,0.176504,0.604897,0.60423,0.730461,0.87218,0.493178,0.349486,0.688162,0.146127,0.736543,0.774183,0.455953,0.273103,0.266231,0.751954,0.977028,0.79943,0.039795,0.073148,0.888341,0.018265,0.818872,0.887667,0.866883,0.487919,0.684871,0.693922,0.387472,0.23829,0.35095,0.456947,0.689215,0.069222,0.501527,0.088131,0.436257,0.134702,0.844654,0.699667,0.02817,0.828033,0.297926,0.758772,0.766326,0.83571,0.745238,0.509847,0.114786,0.111478,0.099495,0.807212,0.107762,0.437121,0.985546,0.80666,0.550391,0.182794,0.217914,0.801047,0.035573,0.857271,0.389512,0.853244,0.956819,0.047247,0.310411,0.779231,0.635565,0.384898,0.739778,0.464749,0.401101,0.254175,0.8395,0.460876,0.962268,0.048844,0.044592,0.296998,0.692287,0.929087,0.593326,0.974138,0.511567,0.188509,0.789149,0.657189,0.898058,0.539691,0.176784,0.671584,0.180707,0.853951,0.206519,0.528036,0.678779,0.149794,0.633548,0.848455,0.43831,0.914544,0.853317,0.746755,0.286652,0.164949,0.609182,0.430229,0.677079,0.005101,0.025295,0.530302,0.327627,0.823776,0.715483,0.945889,0.971829,0.688368,0.797976,0.788274,0.633726,true,0.006211,0.3533,0.715517,0.462788,0.727518,0.914867,0.843434,0.641089,0.724369,0.533109,0.85591,0.494452,0.496948,0.001315,0.537818,0.131473,0.731179,0.517564,0.705564,0.20214,0.042923,0.660195,0.03002,0.694127,0.276924,c0
0.77067,0.547757,0.074349,0.948183,0.903029,0.155799,0.474551,0.023791,0.086075,0.511041,0.347229,0.134838,0.762562,0.662758,0.776968,0.4809,0.919103,0.435064,0.422327,0.143663,0.601149,0.045925,0.884689,0.261646,0.219337,0.70032,0.153035,0.534537,0.296635,0.927335,0.657382,0.823536,0.080154,0.244488,0.378669,0.193206,0.747147,0.327286,0.409174,0.600654,0.771625,0.238006,0.335064,0.579502,0.386203,0.424902,0.821481,0.688929,0.973181,0.141542,0.820613,0.202189,0.649541,0.655674,0.894467,0.494351,0.272458,0.118024,0.246628,0.855595,0.585072,0.243639,0.191047,0.004298,0.246711,0.021874,0.950963,0.403168,0.047371,0.51584,0.877344,0.592123,0.693233,0.438112,0.403774,0.143135,0.168107,0.596729,0.313492,0.515167,0.825147,0.493975,0.184347,0.041404,0.043816,0.330176,0.198702,0.51634,0.499014,0.415722,0.857878,0.366874,0.832433,0.52673,0.524495,0.189444,0.790635,0.053272,0.131134,0.514301,0.699977,0.883792,0.840009,0.018384,0.485473,0.845326,0.915885,0.049888,0.3088,0.17636,0.583281,0.250414,0.300088,0.947644,0.179011,0.264744,0.788815,0.565997,0.48242,0.013601,0.900997,0.497123,0.708214,0.771374,0.383091,0.125682,0.280565,0.338631,0.037366,0.234332,0.172207,0.928352,0.209242,0.928196,0.288546,0.995143,0.353939,0.957166,0.104316,0.128344,0.827997,0.295705,0.519146,0.302723,0.700607,0.528267,0.688384,0.234623,0.560372,0.058188,0.406876,0.326728,0.005032,0.40888,0.475887,0.701239,0.744844,0.918379,0.367164,0.119098,0.024722,0.941789,0.413177,0.162003,0.375927,0.270866,0.698864,0.914298,0.544966,0.855995,0.807738,0.523436,0.815575,0.073008,true,0.440562,0.839042,0.71579,0.112391,0.846845,0.518795,0.615333,0.18866,0.756586,0.457101,0.286885,0.656322,0.554671,0.964893,0.289059,0.11887,0.273834,0.660122,0.042248,0.701862,0.746284,0.235752,0.698413,0.735507,0.874595,c1
