%
% Commandline
%
% weka.datagenerators.classifiers.classification.RDG1 -r weka.datagenerators.classifiers.classification.RDG1-S_9_-n_800_-a_200_-c_2_-N_200_-I_0_-M_1_-R_10 -S 9 -n 800 -a 200 -c 2 -N 200 -I 0 -M 1 -R 10
%
@relation weka.datagenerators.classifiers.classification.RDG1-S_9_-n_800_-a_200_-c_2_-N_200_-I_0_-M_1_-R_10

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 {false,true}
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a65 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a68 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a71 numeric
@attribute a72 numeric
@attribute a73 numeric
@attribute a74 numeric
@attribute a75 numeric
@attribute a76 numeric
@attribute a77 numeric
@attribute a78 numeric
@attribute a79 numeric
@attribute a80 numeric
@attribute a81 numeric
@attribute a82 numeric
@attribute a83 numeric
@attribute a84 numeric
@attribute a85 numeric
@attribute a86 numeric
@attribute a87 numeric
@attribute a88 numeric
@attribute a89 numeric
@attribute a90 numeric
@attribute a91 numeric
@attribute a92 numeric
@attribute a93 numeric
@attribute a94 numeric
@attribute a95 numeric
@attribute a96 numeric
@attribute a97 numeric
@attribute a98 numeric
@attribute a99 numeric
@attribute a100 numeric
@attribute a101 numeric
@attribute a102 numeric
@attribute a103 numeric
@attribute a104 numeric
@attribute a105 numeric
@attribute a106 numeric
@attribute a107 numeric
@attribute a108 numeric
@attribute a109 numeric
@attribute a110 numeric
@attribute a111 numeric
@attribute a112 numeric
@attribute a113 numeric
@attribute a114 numeric
@attribute a115 numeric
@attribute a116 numeric
@attribute a117 numeric
@attribute a118 numeric
@attribute a119 numeric
@attribute a120 numeric
@attribute a121 numeric
@attribute a122 numeric
@attribute a123 numeric
@attribute a124 numeric
@attribute a125 numeric
@attribute a126 numeric
@attribute a127 numeric
@attribute a128 numeric
@attribute a129 numeric
@attribute a130 numeric
@attribute a131 numeric
@attribute a132 numeric
@attribute a133 numeric
@attribute a134 numeric
@attribute a135 numeric
@attribute a136 numeric
@attribute a137 numeric
@attribute a138 numeric
@attribute a139 numeric
@attribute a140 numeric
@attribute a141 numeric
@attribute a142 numeric
@attribute a143 numeric
@attribute a144 numeric
@attribute a145 numeric
@attribute a146 numeric
@attribute a147 numeric
@attribute a148 numeric
@attribute a149 numeric
@attribute a150 numeric
@attribute a151 numeric
@attribute a152 numeric
@attribute a153 numeric
@attribute a154 numeric
@attribute a155 numeric
@attribute a156 numeric
@attribute a157 numeric
@attribute a158 numeric
@attribute a159 numeric
@attribute a160 numeric
@attribute a161 numeric
@attribute a162 numeric
@attribute a163 numeric
@attribute a164 numeric
@attribute a165 numeric
@attribute a166 numeric
@attribute a167 numeric
@attribute a168 numeric
@attribute a169 numeric
@attribute a170 numeric
@attribute a171 numeric
@attribute a172 numeric
@attribute a173 numeric
@attribute a174 numeric
@attribute a175 numeric
@attribute a176 numeric
@attribute a177 numeric
@attribute a178 numeric
@attribute a179 numeric
@attribute a180 numeric
@attribute a181 numeric
@attribute a182 numeric
@attribute a183 numeric
@attribute a184 numeric
@attribute a185 numeric
@attribute a186 numeric
@attribute a187 numeric
@attribute a188 numeric
@attribute a189 numeric
@attribute a190 numeric
@attribute a191 numeric
@attribute a192 numeric
@attribute a193 numeric
@attribute a194 numeric
@attribute a195 numeric
@attribute a196 numeric
@attribute a197 numeric
@attribute a198 numeric
@attribute a199 numeric
@attribute class {c0,c1}

@data

0.031689,0.298151,0.234594,0.164096,0.211031,0.582345,0.290476,0.808671,0.844854,0.734908,0.765623,0.376495,0.484078,0.232742,0.770838,0.917417,0.396763,0.689492,0.70466,0.973038,0.710666,0.69298,0.460641,0.899711,0.647918,0.168314,0.545307,0.173587,0.910094,0.524383,0.933132,0.8324,0.472126,0.361981,0.638165,0.807319,0.399949,0.448524,0.791536,0.403068,0.819487,0.997379,0.479862,0.595671,0.833512,0.029043,0.721673,0.134532,0.008101,0.736929,0.737266,0.659215,0.031899,false,0.102009,0.171169,0.289026,0.800807,0.463884,0.236758,0.380479,0.36758,0.253175,0.240362,0.079029,0.237906,0.215502,0.85494,0.80908,0.357793,0.658976,0.652319,0.505647,0.521326,0.02208,0.436616,0.625544,0.141191,0.740934,0.451583,0.1591,0.394161,0.422946,0.086296,0.722129,0.255146,0.018389,0.083483,0.195586,0.141381,0.02231,0.540936,0.924322,0.502605,0.736188,0.188824,0.186477,0.713577,0.272139,0.524349,0.501567,0.052059,0.291996,0.390095,0.357967,0.378355,0.439415,0.493524,0.109455,0.371813,0.045262,0.182473,0.115688,0.82516,0.964809,0.515138,0.6829,0.549312,0.33987,0.292904,0.998832,0.899317,0.669818,0.260527,0.04984,0.796331,0.822498,0.120542,0.45831,0.391055,0.519362,0.357417,0.284985,0.19079,0.388732,0.121841,0.103471,0.555312,0.896914,0.586685,0.07315,0.955988,0.338956,0.25355,0.31193,0.288094,0.599161,0.662427,0.601696,0.828033,0.576045,0.836929,0.347017,0.13517,0.00724,0.583626,0.751627,0.312248,0.926908,0.456443,0.377387,0.558881,0.141587,0.795695,0.606853,0.879332,0.919895,0.756217,0.04333,0.138855,0.557418,0.650176,0.551165,0.402068,0.600107,0.24755,0.464294,0.632397,0.287877,0.900874,0.472448,0.383342,0.214648,0.490746,0.832166,0.070342,0.291892,0.224715,0.843665,0.776277,0.849833,0.264563,0.984844,0.31415,0.113748,0.005604,0.70014,0.447236,0.352397,0.586548,c0
0.680345,0.685637,0.540864,0.925885,0.899668,0.849957,0.148433,0.594639,0.538621,0.03894,0.709824,0.869102,0.384512,0.805417,0.742458,0.397714,0.250691,0.523545,0.691307,0.393026,0.359437,0.731693,0.159812,0.960795,0.82854,0.784161,0.165817,0.111523,0.857398,0.767191,0.76302,0.845945,0.986847,0.858395,0.349845,0.257731,0.241433,0.438586,0.125387,0.554682,0.053722,0.301121,0.445987,0.263952,0.617264,0.246288,0.286201,0.657338,0.71818,0.196852,0.614378,0.60943,0.154897,true,0.25576,0.684445,0.571375,0.548393,0.734941,0.236788,0.901251,0.098203,0.664745,0.705927,0.648628,0.78006,0.480013,0.087914,0.915838,0.873214,0.702474,0.773873,0.429277,0.343741,0.46686,0.560076,0.811545,0.017822,0.738561,0.654685,0.001386,0.666079,0.509621,0.933043,0.032529,0.554056,0.272526,0.526368,0.348342,0.925068,0.240207,0.067992,0.451269,0.699005,0.105868,0.566758,0.964368,0.394335,0.617688,0.928995,0.1168,0.910421,0.881152,0.608451,0.255984,0.343387,0.095707,0.727848,0.236161,0.451188,0.382626,0.286235,0.436456,0.732117,0.467434,0.743041,0.721096,0.335928,0.242904,0.35279,0.870248,0.18783,0.657615,0.113637,0.882027,0.773027,0.95025,0.088445,0.074527,0.003095,0.981224,0.15885,0.101334,0.465373,0.300992,0.980772,0.834734,0.142682,0.638265,0.024102,0.567984,0.383066,0.691596,0.099792,0.141263,0.497876,0.464251,0.704329,0.405525,0.87141,0.894928,0.844591,0.904288,0.876453,0.205892,0.745341,0.77548,0.207438,0.215244,0.987108,0.653739,0.466586,0.841512,0.17399,0.788187,0.968272,0.166432,0.188884,0.681493,0.762976,0.715749,0.457945,0.303091,0.824596,0.068043,0.416556,0.332793,0.193485,0.50805,0.545854,0.95054,0.622514,0.203632,0.931879,0.403922,0.93454,0.304495,0.28866,0.957107,0.867082,0.435954,0.782046,0.853183,0.653615,0.292492,0.792879,0.606472,0.970797,0.423538,0.966095,c0
0.282188,0.167048,0.847864,0.506587,0.417893,0.880317,0.833166,0.703194,0.894519,0.251481,0.033859,0.088928,0.374299,0.944699,0.192803,0.478556,0.888764,0.097216,0.781623,0.363909,0.782036,0.138432,0.279492,0.792808,0.492977,0.141752,0.27166,0.909259,0.594297,0.002554,0.186759,0.790546,0.097589,0.271794,0.285806,0.081152,0.280269,0.917121,0.466052,0.193906,0.193795,0.63201,0.549267,0.525552,0.572022,0.568326,0.986742,0.216892,0.074457,0.528825,0.332226,0.476978,0.67118,true,0.409233,0.386266,0.504552,0.167518,0.830573,0.395466,0.747402,0.677515,0.415689,0.444777,0.818187,0.210929,0.095277,0.742504,0.810699,0.983189,0.092931,0.762503,0.149228,0.398022,0.52993,0.946728,0.289625,0.330094,0.112023,0.932091,0.752566,0.710624,0.226008,0.860158,0.89737,0.68394,0.599077,0.473684,0.623042,0.826587,0.655363,0.255752,0.61779,0.050471,0.841819,0.825302,0.869085,0.847676,0.489487,0.167065,0.893398,0.476943,0.226437,0.044469,0.548071,0.540461,0.565078,0.120789,0.347354,0.154493,0.049247,0.896867,0.920449,0.57848,0.265438,0.562959,0.621485,0.734677,0.097704,0.257786,0.329659,0.523975,0.837237,0.029608,0.162357,0.22347,0.1453,0.002173,0.164873,0.537469,0.412166,0.862637,0.037444,0.06599,0.754862,0.809037,0.613596,0.053467,0.753024,0.521711,0.113418,0.285243,0.034803,0.556008,0.161151,0.910563,0.993758,0.79293,0.178589,0.788171,0.242835,0.229831,0.044084,0.674242,0.89299,0.445077,0.84153,0.202268,0.381699,0.52856,0.114517,0.14064,0.37057,0.13422,0.287918,0.856064,0.181418,0.581256,0.822485,0.259565,0.346674,0.607438,0.22762,0.766745,0.112624,0.460952,0.27328,0.965044,0.152989,0.506477,0.614062,0.7482,0.325486,0.416677,0.566845,0.651681,0.035512,0.322084,0.967899,0.00277,0.658756,0.000311,0.876239,0.28512,0.518487,0.299833,0.387031,0.809975,0.11349,0.514064,c1
0.006372,0.599164,0.92817,0.755557,0.079351,0.618315,0.462777,0.630074,0.499903,0.88582,0.653582,0.259511,0.405297,0.308986,0.33666,0.759943,0.900377,0.648779,0.029609,0.489271,0.726864,0.139888,0.847686,0.485734,0.306733,0.038286,0.194125,0.102284,0.810712,0.095225,0.37811,0.842138,0.321859,0.445835,0.185944,0.468137,0.739417,0.296046,0.959285,0.432244,0.79953,0.093279,0.918875,0.551318,0.477167,0.574363,0.313019,0.641512,0.077488,0.198415,0.467138,0.515963,0.525114,true,0.96404,0.349116,0.716205,0.767829,0.994131,0.915877,0.310923,0.986206,0.38059,0.624952,0.012845,0.317778,0.906617,0.583089,0.207037,0.049037,0.350195,0.150576,0.809976,0.073894,0.066333,0.578248,0.322207,0.147572,0.047636,0.352365,0.368537,0.450494,0.141071,0.816122,0.460796,0.279477,0.502141,0.485181,0.324621,0.860262,0.427252,0.22949,0.894412,0.858442,0.420851,0.154808,0.999581,0.15511,0.726032,0.584704,0.840373,0.849038,0.57557,0.017464,0.583005,0.248976,0.104962,0.31221,0.791571,0.827657,0.209846,0.644648,0.958083,0.723349,0.627244,0.965298,0.092231,0.395319,0.173407,0.791616,0.188898,0.466306,0.3806,0.170375,0.404119,0.618133,0.740979,0.557761,0.939185,0.645835,0.387804,0.182025,0.957721,0.42118,0.322529,0.177189,0.342063,0.568235,0.230892,0.406158,0.732927,0.111617,0.521955,0.427752,0.090304,0.222357,0.471088,0.504514,0.963753,0.456763,0.251256,0.896841,0.766637,0.560491,0.196479,0.943806,0.611625,0.99297,0.857217,0.592211,0.683648,0.816657,0.279461,0.102793,0.701765,0.491038,0.467634,0.636108,0.752783,0.4131,0.176007,0.300546,0.667205,0.753979,0.014115,0.031006,0.152008,0.255756,0.348761,0.35921,0.094962,0.172884,0.63849,0.735204,0.811631,0.469478,0.646012,0.564522,0.518904,0.716706,0.439851,0.536595,0.987844,0.873804,0.218572,0.137385,0.15384,0.281703,0.769272,0.462857,c0
0.443495,0.750045,0.806579,0.579763,0.715365,0.576364,0.529214,0.716379,0.005637,0.700469,0.478276,0.508192,0.71999,0.967559,0.184675,0.372174,0.519373,0.65038,0.152779,0.838177,0.910087,0.963726,0.44309,0.327084,0.467535,0.293849,0.488881,0.43277,0.698186,0.260854,0.810037,0.238539,0.775731,0.533901,0.971901,0.578586,0.775147,0.527062,0.477755,0.44117,0.572275,0.717923,0.280639,0.902573,0.27675,0.351535,0.253528,0.079539,0.922563,0.719081,0.266446,0.592782,0.153214,false,0.48495,0.945279,0.807383,0.164528,0.12644,0.036444,0.636205,0.137827,0.189112,0.756924,0.864736,0.361185,0.60292,0.238622,0.947833,0.990601,0.842737,0.870706,0.66466,0.719869,0.290983,0.634723,0.6462,0.544504,0.540296,0.660599,0.536617,0.728556,0.386397,0.160151,0.251998,0.285737,0.477136,0.055906,0.218951,0.775562,0.455742,0.690384,0.050724,0.110686,0.964654,0.974643,0.849975,0.373413,0.060869,0.214754,0.215004,0.347315,0.434543,0.641033,0.070188,0.584203,0.319695,0.357209,0.641597,0.34717,0.139141,0.025364,0.255175,0.697194,0.735372,0.107346,0.147577,0.323791,0.504927,0.894509,0.148718,0.459475,0.875853,0.874987,0.920246,0.363292,0.346177,0.211383,0.41564,0.410425,0.7359,0.231586,0.365295,0.782916,0.395817,0.871619,0.883919,0.120784,0.863553,0.951746,0.747758,0.26332,0.860522,0.015747,0.495608,0.387116,0.583094,0.218125,0.270276,0.430392,0.957057,0.405149,0.236083,0.68242,0.896546,0.103018,0.483215,0.812375,0.63693,0.600081,0.561158,0.413701,0.895718,0.689888,0.171158,0.348065,0.956354,0.928042,0.091592,0.787259,0.766857,0.448136,0.110314,0.871892,0.798578,0.48076,0.594526,0.332494,0.719907,0.724384,0.341361,0.251641,0.905598,0.628096,0.521372,0.384991,0.424432,0.463556,0.852266,0.104603,0.426286,0.787123,0.621698,0.079687,0.784211,0.523044,0.815617,0.267942,0.437973,0.434688,c0
0.505787,0.835518,0.742358,0.835085,0.006021,0.508563,0.835552,0.011948,0.386309,0.060472,0.801005,0.175013,0.460454,0.781365,0.563664,0.224906,0.214769,0.250899,0.888096,0.411498,0.549115,0.136943,0.278432,0.620826,0.381569,0.066446,0.275583,0.399829,0.984054,0.029831,0.607456,0.209987,0.382107,0.691384,0.816818,0.640262,0.274004,0.795492,0.316695,0.955212,0.202794,0.582203,0.304572,0.40594,0.649373,0.755488,0.604437,0.189495,0.305526,0.083685,0.299577,0.806677,0.032956,false,0.969296,0.838622,0.917637,0.151727,0.44912,0.839369,0.388384,0.789114,0.296784,0.124573,0.584366,0.671193,0.56522,0.725819,0.028361,0.451695,0.058973,0.675469,0.19086,0.107077,0.981912,0.088761,0.714703,0.535916,0.771794,0.217864,0.910759,0.477268,0.96119,0.76686,0.632218,0.433932,0.104489,0.277147,0.788386,0.885184,0.167107,0.319468,0.568464,0.57846,0.285763,0.561852,0.911572,0.100561,0.477603,0.521924,0.881401,0.246374,0.701155,0.957639,0.382148,0.92669,0.653555,0.402169,0.086985,0.486642,0.826158,0.306744,0.541141,0.342359,0.634607,0.61947,0.148717,0.785859,0.889636,0.398666,0.155701,0.65681,0.481299,0.236021,0.801204,0.334685,0.912052,0.847879,0.524782,0.165967,0.233025,0.182211,0.489732,0.00844,0.013039,0.784354,0.710631,0.048232,0.201358,0.966341,0.757908,0.425169,0.13286,0.532662,0.353085,0.488124,0.468271,0.42956,0.165387,0.694427,0.562275,0.705445,0.773738,0.266042,0.608784,0.596818,0.067729,0.720091,0.925343,0.38704,0.326986,0.302441,0.907563,0.924606,0.840394,0.170463,0.509713,0.33303,0.204998,0.894685,0.589015,0.49626,0.378938,0.478956,0.088898,0.361503,0.153626,0.634881,0.830399,0.965629,0.95741,0.488636,0.631107,0.361817,0.806312,0.246955,0.577491,0.299867,0.777006,0.603906,0.539127,0.596617,0.592987,0.831262,0.432327,0.62214,0.786994,0.562614,0.315811,0.222932,c0
0.431034,0.255015,0.132566,0.705038,0.609954,0.191864,0.799692,0.208088,0.655308,0.676797,0.391992,0.915451,0.653349,0.760814,0.365264,0.06625,0.894277,0.443456,0.121696,0.661712,0.739481,0.793732,0.732445,0.091359,0.849288,0.847658,0.301463,0.643779,0.835837,0.45661,0.279772,0.012252,0.184007,0.484372,0.020903,0.457234,0.717877,0.880599,0.005845,0.245738,0.981062,0.19458,0.459844,0.351885,0.646284,0.035558,0.533558,0.173423,0.47291,0.834483,0.827532,0.195756,0.390712,false,0.801649,0.118054,0.003969,0.358492,0.530163,0.945235,0.18206,0.859664,0.338098,0.945172,0.431047,0.954279,0.086277,0.172172,0.425308,0.241157,0.259897,0.465849,0.41909,0.218177,0.559547,0.448703,0.254942,0.688679,0.393742,0.066291,0.339289,0.609198,0.528496,0.640579,0.264998,0.15237,0.162159,0.240097,0.726576,0.669967,0.862672,0.409793,0.995762,0.058424,0.129609,0.948939,0.503531,0.752834,0.824807,0.477269,0.009155,0.205275,0.353086,0.98746,0.427751,0.239467,0.268501,0.446406,0.63483,0.116149,0.931769,0.778161,0.469686,0.492181,0.950958,0.238258,0.719015,0.711261,0.400222,0.272065,0.078,0.025313,0.230298,0.439126,0.958142,0.412923,0.859704,0.880935,0.539465,0.6349,0.666989,0.111344,0.64927,0.046867,0.992107,0.616825,0.890438,0.474957,0.298923,0.868046,0.939368,0.153049,0.35105,0.864755,0.086938,0.318627,0.609666,0.262691,0.90545,0.569215,0.574666,0.464281,0.39036,0.492488,0.459416,0.79412,0.047626,0.400522,0.414619,0.025743,0.175868,0.222303,0.498202,0.07795,0.027081,0.738479,0.725866,0.656981,0.620469,0.37848,0.830851,0.985048,0.731025,0.742507,0.811708,0.526287,0.977838,0.859542,0.953257,0.797911,0.99663,0.947382,0.768664,0.937388,0.396889,0.101872,0.22948,0.685693,0.576004,0.909856,0.725682,0.842222,0.491151,0.454027,0.429217,0.048685,0.174223,0.557727,0.122237,0.967319,c1
0.11596,0.403886,0.095154,0.533026,0.642445,0.85465,0.419841,0.97953,0.060514,0.896937,0.759761,0.766414,0.658156,0.643957,0.891486,0.366919,0.611811,0.233961,0.281027,0.115611,0.474563,0.78478,0.383572,0.960578,0.197505,0.286408,0.816702,0.016519,0.571173,0.943747,0.194827,0.273157,0.564716,0.01774,0.20654,0.677607,0.287587,0.655548,0.466775,0.079886,0.201816,0.549024,0.782113,0.207473,0.772538,0.515627,0.730261,0.917867,0.96023,0.257063,0.873688,0.467316,0.830214,true,0.502578,0.429428,0.083282,0.643334,0.533734,0.19911,0.495881,0.603637,0.079726,0.725307,0.09911,0.962017,0.246564,0.23025,0.422852,0.926154,0.918326,0.193458,0.284692,0.84541,0.643658,0.805461,0.412827,0.209013,0.251731,0.429256,0.65801,0.414993,0.494192,0.34674,0.671633,0.796582,0.834857,0.212877,0.705375,0.616431,0.490304,0.192125,0.622405,0.868904,0.962269,0.709645,0.300965,0.766796,0.596634,0.114066,0.358221,0.731259,0.154055,0.31912,0.525577,0.552295,0.983662,0.66817,0.066244,0.142119,0.154012,0.848709,0.341654,0.96477,0.81438,0.673127,0.005388,0.792773,0.134688,0.937585,0.331605,0.915269,0.403827,0.372564,0.869541,0.301909,0.253792,0.906684,0.956441,0.512959,0.521021,0.079638,0.618383,0.338427,0.956526,0.460585,0.041772,0.247664,0.852814,0.355135,0.107819,0.735775,0.668352,0.917022,0.448197,0.564308,0.899205,0.019856,0.102073,0.71107,0.772736,0.889838,0.133101,0.567549,0.819647,0.552073,0.49946,0.552312,0.018391,0.601145,0.060912,0.84488,0.999867,0.670844,0.853872,0.386949,0.750565,0.24848,0.66883,0.646485,0.35874,0.155949,0.52402,0.895083,0.610884,0.10273,0.845076,0.910118,0.664747,0.205258,0.032444,0.080603,0.600303,0.262619,0.626683,0.869303,0.381547,0.880274,0.466334,0.46352,0.649681,0.241522,0.073854,0.233127,0.812189,0.440673,0.002196,0.306782,0.092519,0.812411,c1
0.430928,0.410087,0.849232,0.373004,0.129463,0.216879,0.209314,0.054635,0.260302,0.797983,0.414398,0.9209,0.387266,0.904895,0.058895,0.851897,0.216982,0.058516,0.332368,0.716181,0.27553,0.761975,0.608247,0.259747,0.507667,0.373259,0.467055,0.913965,0.837355,0.844625,0.648402,0.813845,0.303512,0.431215,0.954382,0.29171,0.116346,0.773092,0.311561,0.991174,0.867354,0.462905,0.039534,0.532517,0.169969,0.325659,0.871155,0.352872,0.208085,0.157566,0.422818,0.943319,0.026083,true,0.62276,0.209836,0.906723,0.13926,0.071166,0.096211,0.85218,0.026298,0.427936,0.924367,0.008706,0.927649,0.702295,0.131237,0.856864,0.831103,0.75298,0.21115,0.126937,0.559242,0.398578,0.70888,0.693101,0.67241,0.284657,0.050837,0.15012,0.294882,0.057636,0.850562,0.382769,0.577026,0.454926,0.079528,0.200907,0.089254,0.6367,0.155421,0.032035,0.432846,0.456688,0.567419,0.738398,0.7482,0.397763,0.131655,0.857111,0.602858,0.582601,0.349907,0.949518,0.949623,0.610559,0.630706,0.289888,0.459387,0.968975,0.324427,0.823805,0.553754,0.420391,0.622571,0.183006,0.889335,0.076804,0.376309,0.556141,0.878572,0.837855,0.800523,0.383878,0.071224,0.491932,0.846927,0.171951,0.866152,0.057481,0.753514,0.197208,0.074793,0.87642,0.907432,0.519417,0.315723,0.562316,0.694553,0.505518,0.083967,0.153118,0.451344,0.023215,0.609225,0.721498,0.983331,0.567241,0.293939,0.255485,0.369278,0.844331,0.605129,0.837834,0.931378,0.761882,0.783186,0.024694,0.319104,0.340463,0.626326,0.852429,0.628033,0.801804,0.911162,0.086034,0.354801,0.971564,0.71784,0.163384,0.775513,0.180152,0.042484,0.786663,0.027301,0.045036,0.600163,0.265599,0.771349,0.874457,0.648367,0.526728,0.820598,0.945124,0.993996,0.168723,0.526482,0.575446,0.086102,0.065888,0.036401,0.741025,0.242157,0.800256,0.757305,0.960592,0.607351,0.63727,0.490623,c0
