name, numInstances, numNumeric, numNominal, numClasses, accuracy, time
GAMETES_Epistasis.arff, 1600, 0, 1000, 2, 50.35, 2931.4
kdd_ipums_la_97-small.arff, 2744, 0, 60, 9, 76.82215743440233, 29404.0
kdd_ipums_la_98-small.arff, 3331, 0, 60, 10, 76.21735214650255, 107751.0
kdd_ipums_la_99-small.arff, 4062, 0, 60, 9, 86.24815361890694, 69350.4
madelon.arff, 2600, 500, 0, 2, 67.70769230769231, 11384.2
mfeat-factors.arff, 2000, 216, 0, 10, 96.86999999999999, 5540.6
mfeat-karhunen.arff, 2000, 64, 0, 10, 96.4, 6302.8
mfeat-zernike.arff, 2000, 47, 0, 10, 77.66999999999999, 5753.4
nursery.arff, 12960, 0, 8, 5, 97.4243827160494, 7603.2
OVA_Lung.arff, 1545, 10936, 0, 2, 95.49514563106796, 21622.2
phpSSK7iA.arff, 3751, 1776, 0, 2, 79.8080511863503, 24362.8
speeddating.arff, 8378, 59, 63, 2, 96.08259727858676, 14784.4
sylva_agnostic.arff, 14395, 216, 0, 2, 98.13685307398403, 38582.4
waveform-5000.arff, 5000, 40, 0, 3, 85.78399999999999, 10550.4
