name; numInstances;numAttributes; numNumeric; numNominal; numClasses;accuracy_weka;time_weka;accuracy_FRF;time_FRF;accuracy_FRF - accuracy_weka;SpeedUp
amazon-commerce-reviews.arff;1500;10000;10000;0;50;53.76;246351.40;66.53;27120.40;12.77;9.08
arcene.arff;200;10000;10000;0;2;83.70;9490.80;81.10;1753.00;-2.60;5.41
bank-marketing-full.arff;45211;16;7;9;2;90.54;99039.40;90.57;83627.60;0.03;1.18
cnae-9.arff;1080;856;856;0;9;94.04;24922.20;95.50;5943.80;1.46;4.19
dorothea_train.arff;805;100000;100000;0;2;89.17;497085.80;89.12;92907.80;-0.05;5.35
first-order-theorem.arff;6118;51;51;0;6;63.15;32863.00;63.21;21056.80;0.06;1.56
GAMETES_Epistasis.arff;1600;1000;0;1000;2;49.09;13325.00;50.35;2931.40;1.26;4.55
gas-drift.arff;13910;128;128;0;6;99.48;89345.40;99.45;44972.80;-0.03;1.99
gas-drift-different-concentrations.arff;13910;129;129;0;6;99.49;88263.80;99.47;43841.60;-0.02;2.01
gisette_train.arff;4900;5000;5000;0;2;96.55;113693.40;96.27;42225.60;-0.28;2.69
har.arff;10299;561;561;0;6;98.21;97985.80;98.19;49482.20;-0.01;1.98
kdd_ipums_la_97-small.arff;2744;60;0;60;9;77.13;13162.80;76.82;29404.00;-0.31;0.45
kdd_ipums_la_98-small.arff;3331;60;0;60;10;76.36;63978.80;76.22;107751.00;-0.14;0.59
kdd_ipums_la_99-small.arff;4062;60;0;60;9;86.04;55359.60;86.25;69350.40;0.21;0.80
madelon.arff;2600;500;500;0;2;67.40;22888.20;67.71;11412.80;0.31;2.01
mfeat-factors.arff;2000;216;216;0;10;96.88;8753.20;96.87;5540.60;-0.01;1.58
mfeat-karhunen.arff;2000;64;64;0;10;96.46;11343.80;96.40;6302.80;-0.06;1.80
mfeat-zernike.arff;2000;47;47;0;10;77.67;10484.40;77.67;5753.40;0.00;1.82
micro-mass-pure-spectra.arff;571;1300;1300;0;20;87.36;10915.40;87.08;2968.80;-0.28;3.68
multiple-features.arff;2000;649;649;0;10;98.46;12816.00;98.52;6997.00;0.06;1.83
musk.arff;6598;167;166;1;2;99.57;20453.80;99.40;12625.20;-0.17;1.62
nomao.arff;34465;118;89;29;2;97.03;179149.40;97.07;105399.20;0.03;1.70
nursery.arff;12960;8;0;8;5;99.19;7159.80;97.42;7603.20;-1.76;0.94
OVA_Lung.arff;1545;10936;10936;0;2;95.65;27884.60;95.50;21622.20;-0.16;1.29
p53_mutants_train.arff;16772;5655;5655;0;2;99.15;307338.60;99.21;171363.60;0.06;1.79
phpSSK7iA.arff;3751;1776;1776;0;2;80.10;72772.60;79.81;24362.80;-0.29;2.99
speeddating.arff;8378;122;59;63;2;92.92;22187.80;96.08;14784.40;3.16;1.50
sylva_agnostic.arff;14395;216;216;0;2;99.15;68198.80;98.14;38582.40;-1.01;1.77
waveform-5000.arff;5000;40;40;0;3;85.43;19187.80;85.78;10550.40;0.35;1.82
